Timestamp,Label,Location Name,Power (W),Energy (Wh)
2024-11-26 12:12:32,SMP04,Laboratory 207,18.214,1931.678
2024-11-26 12:12:44,SMP04,Laboratory 207,18.241,1931.982
2024-11-26 12:12:56,SMP04,Laboratory 207,18.241,1931.982
2024-11-26 12:13:08,SMP04,Laboratory 207,18.241,1931.982
2024-11-26 12:13:20,SMP04,Laboratory 207,18.241,1931.982
2024-11-26 12:13:32,SMP04,Laboratory 207,18.241,1931.982
2024-11-26 12:13:44,SMP04,Laboratory 207,18.166,1932.285
2024-11-26 12:13:56,SMP04,Laboratory 207,18.166,1932.285
2024-11-26 12:14:08,SMP04,Laboratory 207,18.166,1932.285
2024-11-26 12:14:20,SMP04,Laboratory 207,18.166,1932.285
2024-11-26 12:14:32,SMP04,Laboratory 207,18.166,1932.285
2024-11-26 12:14:45,SMP04,Laboratory 207,18.143,1932.588
2024-11-26 12:14:57,SMP04,Laboratory 207,18.143,1932.588
2024-11-26 12:15:09,SMP04,Laboratory 207,18.143,1932.588
2024-11-26 12:15:21,SMP04,Laboratory 207,18.143,1932.588
2024-11-26 12:15:33,SMP04,Laboratory 207,18.143,1932.588
2024-11-26 12:15:45,SMP04,Laboratory 207,18.154,1932.89
2024-11-26 12:15:57,SMP04,Laboratory 207,18.154,1932.89
2024-11-26 12:16:09,SMP04,Laboratory 207,18.154,1932.89
2024-11-26 12:16:21,SMP04,Laboratory 207,18.154,1932.89
2024-11-26 12:16:33,SMP04,Laboratory 207,18.154,1932.89
2024-11-26 12:16:45,SMP04,Laboratory 207,18.178,1933.193
2024-11-26 12:16:57,SMP04,Laboratory 207,18.178,1933.193
2024-11-26 12:17:09,SMP04,Laboratory 207,18.178,1933.193
2024-11-26 12:17:21,SMP04,Laboratory 207,18.178,1933.193
2024-11-26 12:17:34,SMP04,Laboratory 207,18.178,1933.193
2024-11-26 12:17:46,SMP04,Laboratory 207,18.143,1933.496
2024-11-26 12:17:58,SMP04,Laboratory 207,18.143,1933.496
2024-11-26 12:18:10,SMP04,Laboratory 207,18.143,1933.496
2024-11-26 12:18:33,SMP04,Laboratory 207,18.143,1933.496
2024-11-26 12:18:45,SMP04,Laboratory 207,18.187,1933.798
2024-11-26 12:18:57,SMP04,Laboratory 207,18.187,1933.798
2024-11-26 12:19:09,SMP04,Laboratory 207,18.187,1933.798
2024-11-26 13:05:55,SMP04,Laboratory 207,18.202,1948.125
2024-11-26 13:06:07,SMP04,Laboratory 207,18.202,1948.125
2024-11-26 13:06:19,SMP04,Laboratory 207,18.202,1948.125
2024-11-26 13:06:31,SMP04,Laboratory 207,18.202,1948.125
2024-11-26 13:06:43,SMP04,Laboratory 207,18.202,1948.125
2024-11-26 13:06:55,SMP04,Laboratory 207,18.227,1948.429
2024-11-26 13:07:07,SMP04,Laboratory 207,18.227,1948.429
2024-11-26 13:07:19,SMP04,Laboratory 207,18.227,1948.429
2024-11-26 13:07:32,SMP04,Laboratory 207,18.227,1948.429
2024-11-26 13:07:44,SMP04,Laboratory 207,18.227,1948.429
2024-11-26 13:07:56,SMP04,Laboratory 207,18.24,1948.732
2024-11-26 13:08:08,SMP04,Laboratory 207,18.24,1948.732
2024-11-26 13:08:20,SMP04,Laboratory 207,18.24,1948.732
2024-11-26 13:08:32,SMP04,Laboratory 207,18.24,1948.732
2024-11-26 13:08:44,SMP04,Laboratory 207,18.215,1949.037
2024-11-26 13:08:56,SMP04,Laboratory 207,18.215,1949.037
2024-11-26 13:09:08,SMP04,Laboratory 207,18.215,1949.037
2024-11-26 13:09:20,SMP04,Laboratory 207,18.215,1949.037
2024-11-26 13:09:32,SMP04,Laboratory 207,18.215,1949.037
2024-11-26 13:09:45,SMP04,Laboratory 207,18.248,1949.34
2024-11-26 13:09:57,SMP04,Laboratory 207,18.248,1949.34
2024-11-26 13:10:10,SMP04,Laboratory 207,18.248,1949.34
2024-11-26 13:10:22,SMP04,Laboratory 207,18.248,1949.34
2024-11-26 13:10:34,SMP04,Laboratory 207,18.248,1949.34
2024-11-26 13:10:46,SMP04,Laboratory 207,18.147,1949.644
2024-11-26 13:10:58,SMP04,Laboratory 207,18.147,1949.644
2024-11-26 13:11:10,SMP04,Laboratory 207,18.147,1949.644
2024-11-26 13:11:22,SMP04,Laboratory 207,18.147,1949.644
2024-11-26 13:11:34,SMP04,Laboratory 207,18.147,1949.644
2024-11-26 13:11:47,SMP04,Laboratory 207,18.188,1949.947
2024-11-26 13:11:59,SMP04,Laboratory 207,18.188,1949.947
2024-11-26 13:12:11,SMP04,Laboratory 207,18.188,1949.947
2024-11-26 13:12:23,SMP04,Laboratory 207,18.188,1949.947
2024-11-26 13:12:35,SMP04,Laboratory 207,18.188,1949.947
2024-11-26 13:12:48,SMP04,Laboratory 207,18.185,1950.251
2024-11-26 13:13:00,SMP04,Laboratory 207,18.185,1950.251
2024-11-26 13:13:12,SMP04,Laboratory 207,18.185,1950.251
2024-11-26 13:13:24,SMP04,Laboratory 207,18.185,1950.251
2024-11-26 13:13:36,SMP04,Laboratory 207,18.185,1950.251
2024-11-26 13:13:48,SMP04,Laboratory 207,18.594,1950.556
2024-11-26 13:14:00,SMP04,Laboratory 207,18.594,1950.556
2024-11-26 13:14:12,SMP04,Laboratory 207,18.594,1950.556
2024-11-26 13:14:25,SMP04,Laboratory 207,18.594,1950.556
2024-11-26 13:14:37,SMP04,Laboratory 207,18.594,1950.556
2024-11-26 13:14:49,SMP04,Laboratory 207,18.236,1950.863
2024-11-26 13:15:01,SMP04,Laboratory 207,18.236,1950.863
2024-11-26 13:15:13,SMP04,Laboratory 207,18.236,1950.863
2024-11-26 13:15:25,SMP04,Laboratory 207,18.236,1950.863
2024-11-26 13:15:37,SMP04,Laboratory 207,18.236,1950.863
2024-11-26 13:15:50,SMP04,Laboratory 207,18.242,1951.167
2024-11-26 13:16:02,SMP04,Laboratory 207,18.242,1951.167
2024-11-26 13:16:14,SMP04,Laboratory 207,18.242,1951.167
2024-11-26 13:16:26,SMP04,Laboratory 207,18.242,1951.167
2024-11-26 13:16:38,SMP04,Laboratory 207,18.242,1951.167
2024-11-26 13:16:50,SMP04,Laboratory 207,18.217,1951.471
2024-11-26 13:17:02,SMP04,Laboratory 207,18.217,1951.471
2024-11-26 13:17:15,SMP04,Laboratory 207,18.217,1951.471
2024-11-26 13:17:27,SMP04,Laboratory 207,18.217,1951.471
2024-11-26 13:17:39,SMP04,Laboratory 207,18.217,1951.471
2024-11-26 13:17:51,SMP04,Laboratory 207,18.247,1951.774
2024-11-26 13:18:03,SMP04,Laboratory 207,18.247,1951.774
2024-11-26 13:18:16,SMP04,Laboratory 207,18.247,1951.774
2024-11-26 13:18:28,SMP04,Laboratory 207,18.247,1951.774
2024-11-26 13:18:40,SMP04,Laboratory 207,18.247,1951.774
2024-11-26 13:18:53,SMP04,Laboratory 207,18.656,1952.082
2024-11-26 13:19:05,SMP04,Laboratory 207,18.656,1952.082
2024-11-26 13:19:17,SMP04,Laboratory 207,18.656,1952.082
2024-11-26 13:19:29,SMP04,Laboratory 207,18.656,1952.082
2024-11-26 13:19:41,SMP04,Laboratory 207,18.656,1952.082
2024-11-26 13:19:53,SMP04,Laboratory 207,18.644,1952.391
2024-11-26 13:20:07,SMP04,Laboratory 207,18.644,1952.391
2024-11-26 13:20:19,SMP04,Laboratory 207,18.644,1952.391
2024-11-26 13:20:31,SMP04,Laboratory 207,18.644,1952.391
2024-11-26 13:20:43,SMP04,Laboratory 207,18.644,1952.391
2024-11-26 13:20:56,SMP04,Laboratory 207,18.254,1952.696
2024-11-26 13:21:08,SMP04,Laboratory 207,18.254,1952.696
2024-11-26 13:21:20,SMP04,Laboratory 207,18.254,1952.696
2024-11-26 13:21:32,SMP04,Laboratory 207,18.254,1952.696
2024-11-26 13:21:44,SMP04,Laboratory 207,18.209,1953
2024-11-26 13:21:56,SMP04,Laboratory 207,18.209,1953
2024-11-26 13:22:08,SMP04,Laboratory 207,18.209,1953
2024-11-26 13:22:20,SMP04,Laboratory 207,18.209,1953
2024-11-26 13:22:33,SMP04,Laboratory 207,18.209,1953
2024-11-26 13:22:45,SMP04,Laboratory 207,18.224,1953.304
2024-11-26 13:22:57,SMP04,Laboratory 207,18.224,1953.304
2024-11-26 13:23:09,SMP04,Laboratory 207,18.224,1953.304
2024-11-26 13:23:21,SMP04,Laboratory 207,18.224,1953.304
2024-11-26 13:23:33,SMP04,Laboratory 207,18.224,1953.304
2024-11-26 13:24:18,SMP04,Laboratory 207,18.257,1953.608
2024-11-26 13:24:30,SMP04,Laboratory 207,18.257,1953.608
2024-11-26 13:24:42,SMP04,Laboratory 207,18.257,1953.608
2024-11-26 13:24:54,SMP04,Laboratory 207,18.261,1953.912
2024-11-26 13:25:06,SMP04,Laboratory 207,18.261,1953.912
2024-11-26 13:54:06,SMP04,Laboratory 207,18.217,1962.731
2024-11-26 13:54:18,SMP04,Laboratory 207,18.217,1962.731
2024-11-26 13:54:30,SMP04,Laboratory 207,18.217,1962.731
2024-11-26 13:54:42,SMP04,Laboratory 207,18.217,1962.731
2024-11-26 13:54:54,SMP04,Laboratory 207,18.232,1963.035
2024-11-26 13:55:07,SMP04,Laboratory 207,18.232,1963.035
2024-11-26 13:55:19,SMP04,Laboratory 207,18.232,1963.035
2024-11-26 13:55:31,SMP04,Laboratory 207,18.232,1963.035
2024-11-26 13:55:43,SMP04,Laboratory 207,18.232,1963.035
2024-11-26 13:55:55,SMP04,Laboratory 207,18.225,1963.339
2024-11-26 13:56:08,SMP04,Laboratory 207,18.225,1963.339
2024-11-26 13:56:20,SMP04,Laboratory 207,18.225,1963.339
2024-11-26 13:56:32,SMP04,Laboratory 207,18.225,1963.339
2024-11-26 13:56:44,SMP04,Laboratory 207,18.192,1963.339
2024-11-26 13:56:56,SMP04,Laboratory 207,18.192,1963.643
2024-11-26 13:57:08,SMP04,Laboratory 207,18.192,1963.643
2024-11-26 13:57:20,SMP04,Laboratory 207,18.192,1963.643
2024-11-26 13:57:33,SMP04,Laboratory 207,18.192,1963.643
2024-11-26 13:57:45,SMP04,Laboratory 207,18.234,1963.947
2024-11-26 13:57:57,SMP04,Laboratory 207,18.234,1963.947
2024-11-26 13:58:09,SMP04,Laboratory 207,18.234,1963.947
2024-11-26 13:58:21,SMP04,Laboratory 207,18.234,1963.947
2024-11-26 13:58:33,SMP04,Laboratory 207,18.234,1963.947
2024-11-26 13:58:46,SMP04,Laboratory 207,18.207,1964.25
2024-11-26 13:58:58,SMP04,Laboratory 207,18.207,1964.25
2024-11-26 13:59:10,SMP04,Laboratory 207,18.207,1964.25
2024-11-26 13:59:22,SMP04,Laboratory 207,18.207,1964.25
2024-11-26 13:59:34,SMP04,Laboratory 207,18.207,1964.25
2024-11-26 13:59:46,SMP04,Laboratory 207,18.227,1964.554
2024-11-26 13:59:58,SMP04,Laboratory 207,18.227,1964.554
2024-11-26 14:00:12,SMP04,Laboratory 207,18.227,1964.554
2024-11-26 14:00:24,SMP04,Laboratory 207,18.227,1964.554
2024-11-26 14:00:36,SMP04,Laboratory 207,18.227,1964.554
2024-11-26 14:00:48,SMP04,Laboratory 207,18.203,1964.857
2024-11-26 14:01:00,SMP04,Laboratory 207,18.203,1964.857
2024-11-26 14:01:12,SMP04,Laboratory 207,18.203,1964.857
2024-11-26 14:01:25,SMP04,Laboratory 207,18.203,1964.857
2024-11-26 14:01:38,SMP04,Laboratory 207,18.203,1964.857
2024-11-26 14:01:52,SMP04,Laboratory 207,18.271,1965.161
2024-11-26 14:02:04,SMP04,Laboratory 207,18.271,1965.161
2024-11-26 14:02:16,SMP04,Laboratory 207,18.271,1965.161
2024-11-26 14:02:28,SMP04,Laboratory 207,18.271,1965.161
2024-11-26 14:02:40,SMP04,Laboratory 207,18.271,1965.161
2024-11-26 14:02:52,SMP04,Laboratory 207,18.242,1965.465
2024-11-26 14:03:04,SMP04,Laboratory 207,18.242,1965.465
2024-11-26 14:03:16,SMP04,Laboratory 207,18.242,1965.465
2024-11-26 14:03:28,SMP04,Laboratory 207,18.242,1965.465
2024-11-26 14:03:40,SMP04,Laboratory 207,18.242,1965.465
2024-11-26 14:03:53,SMP04,Laboratory 207,18.216,1965.769
2024-11-26 14:04:05,SMP04,Laboratory 207,18.216,1965.769
2024-11-26 14:04:17,SMP04,Laboratory 207,18.216,1965.769
2024-11-26 14:04:29,SMP04,Laboratory 207,18.216,1965.769
2024-11-26 14:04:41,SMP04,Laboratory 207,18.216,1965.769
2024-11-26 14:04:54,SMP04,Laboratory 207,18.231,1966.073
2024-11-26 14:05:06,SMP04,Laboratory 207,18.231,1966.073
2024-11-26 14:05:18,SMP04,Laboratory 207,18.231,1966.073
2024-11-26 14:05:30,SMP04,Laboratory 207,18.231,1966.073
2024-11-26 14:05:43,SMP04,Laboratory 207,18.231,1966.073
2024-11-26 14:05:55,SMP04,Laboratory 207,18.229,1966.377
2024-11-26 14:06:07,SMP04,Laboratory 207,18.229,1966.377
2024-11-26 14:06:19,SMP04,Laboratory 207,18.229,1966.377
2024-11-26 14:06:31,SMP04,Laboratory 207,18.229,1966.377
2024-11-26 14:06:43,SMP04,Laboratory 207,18.229,1966.377
2024-11-26 14:06:55,SMP04,Laboratory 207,18.214,1966.68
2024-11-26 14:07:07,SMP04,Laboratory 207,18.214,1966.68
2024-11-26 14:07:19,SMP04,Laboratory 207,18.214,1966.68
2024-11-26 14:07:32,SMP04,Laboratory 207,18.214,1966.68
2024-11-26 14:07:44,SMP04,Laboratory 207,18.214,1966.68
2024-11-26 14:07:56,SMP04,Laboratory 207,18.215,1966.984
2024-11-26 14:08:08,SMP04,Laboratory 207,18.215,1966.984
2024-11-26 14:08:20,SMP04,Laboratory 207,18.215,1966.984
2024-11-26 14:08:32,SMP04,Laboratory 207,18.215,1966.984
2024-11-26 14:08:45,SMP04,Laboratory 207,18.239,1967.287
2024-11-26 14:08:58,SMP04,Laboratory 207,18.239,1967.287
2024-11-26 14:09:10,SMP04,Laboratory 207,18.239,1967.287
2024-11-26 14:09:23,SMP04,Laboratory 207,18.239,1967.287
