Timestamp,Label,Location Name,Power (W),Energy (Wh)
2024-11-26 12:12:32,SMP07,Laboratory 207,18.48,2.203
2024-11-26 12:12:44,SMP07,Laboratory 207,18.48,2.203
2024-11-26 12:12:56,SMP07,Laboratory 207,18.48,2.203
2024-11-26 12:13:08,SMP07,Laboratory 207,18.48,2.203
2024-11-26 12:13:20,SMP07,Laboratory 207,18.48,2.203
2024-11-26 12:13:32,SMP07,Laboratory 207,18.48,2.203
2024-11-26 12:13:44,SMP07,Laboratory 207,18.48,2.203
2024-11-26 12:13:56,SMP07,Laboratory 207,18.48,2.203
2024-11-26 12:14:08,SMP07,Laboratory 207,18.48,2.203
2024-11-26 12:14:20,SMP07,Laboratory 207,18.48,2.203
2024-11-26 12:14:32,SMP07,Laboratory 207,18.48,2.203
2024-11-26 12:14:45,SMP07,Laboratory 207,18.48,2.203
2024-11-26 12:14:57,SMP07,Laboratory 207,18.48,2.203
2024-11-26 12:15:09,SMP07,Laboratory 207,29.33,2.208
2024-11-26 12:15:21,SMP07,Laboratory 207,29.33,2.208
2024-11-26 12:15:33,SMP07,Laboratory 207,29.33,2.208
2024-11-26 12:15:45,SMP07,Laboratory 207,29.33,2.208
2024-11-26 12:15:57,SMP07,Laboratory 207,29.33,2.208
2024-11-26 12:16:09,SMP07,Laboratory 207,29.33,2.208
2024-11-26 12:16:21,SMP07,Laboratory 207,29.33,2.208
2024-11-26 12:16:33,SMP07,Laboratory 207,29.33,2.208
2024-11-26 12:16:45,SMP07,Laboratory 207,29.33,2.208
2024-11-26 12:16:57,SMP07,Laboratory 207,29.33,2.208
2024-11-26 12:17:09,SMP07,Laboratory 207,29.33,2.208
2024-11-26 12:17:21,SMP07,Laboratory 207,29.33,2.208
2024-11-26 12:17:34,SMP07,Laboratory 207,29.33,2.208
2024-11-26 12:17:46,SMP07,Laboratory 207,29.33,2.208
2024-11-26 12:17:58,SMP07,Laboratory 207,29.33,2.208
2024-11-26 12:18:10,SMP07,Laboratory 207,29.33,2.208
2024-11-26 12:18:33,SMP07,Laboratory 207,29.33,2.208
2024-11-26 12:18:45,SMP07,Laboratory 207,29.33,2.208
