Timestamp,Label,Location Name,Power (W),Energy (Wh)
2024-11-26 12:12:32,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:12:44,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:12:56,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:13:08,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:13:20,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:13:32,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:13:44,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:13:56,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:14:08,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:14:20,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:14:32,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:14:45,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:14:57,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:15:09,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:15:21,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:15:33,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:15:45,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:15:57,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:16:09,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:16:21,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:16:33,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:16:45,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:16:57,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:17:09,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:17:21,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:17:34,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:17:46,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:17:58,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:18:10,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:18:33,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:18:45,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:18:57,SMP09,Laboratory 205,27.82,5.583
2024-11-26 12:19:09,SMP09,Laboratory 205,27.82,5.583
2024-11-26 13:05:55,SMP09,Laboratory 205,87.32,5.621
2024-11-26 13:06:07,SMP09,Laboratory 205,87.32,5.621
2024-11-26 13:06:19,SMP09,Laboratory 205,87.32,5.621
2024-11-26 13:06:31,SMP09,Laboratory 205,87.32,5.621
2024-11-26 13:06:43,SMP09,Laboratory 205,87.32,5.621
2024-11-26 13:06:55,SMP09,Laboratory 205,87.32,5.621
2024-11-26 13:07:07,SMP09,Laboratory 205,87.32,5.621
2024-11-26 13:07:19,SMP09,Laboratory 205,87.32,5.621
2024-11-26 13:07:32,SMP09,Laboratory 205,87.32,5.621
2024-11-26 13:07:44,SMP09,Laboratory 205,87.32,5.621
2024-11-26 13:07:56,SMP09,Laboratory 205,87.32,5.621
2024-11-26 13:08:08,SMP09,Laboratory 205,87.32,5.621
2024-11-26 13:08:20,SMP09,Laboratory 205,87.32,5.621
2024-11-26 13:08:32,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:08:44,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:08:56,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:09:08,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:09:20,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:09:32,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:09:45,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:09:57,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:10:10,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:10:22,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:10:34,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:10:46,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:10:58,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:11:10,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:11:22,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:11:34,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:11:47,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:11:59,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:12:11,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:12:23,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:12:35,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:12:48,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:13:00,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:13:12,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:13:24,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:13:36,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:13:48,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:14:00,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:14:12,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:14:25,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:14:37,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:14:49,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:15:01,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:15:13,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:15:25,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:15:38,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:15:50,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:16:02,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:16:14,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:16:26,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:16:38,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:16:50,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:17:02,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:17:15,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:17:27,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:17:39,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:17:51,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:18:03,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:18:16,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:18:28,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:18:40,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:18:53,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:19:05,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:19:17,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:19:29,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:19:41,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:19:53,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:20:07,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:20:19,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:20:31,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:20:43,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:20:56,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:21:08,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:21:20,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:21:32,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:21:44,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:21:56,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:22:08,SMP09,Laboratory 205,27.85,5.628
2024-11-26 13:22:20,SMP09,Laboratory 205,27.85,5.628
