Timestamp,Label,Location Name,Power (W),Energy (Wh)
2024-11-28 13:45:17,SMP05,Laboratory 207,31.522,8194.675
2024-11-28 13:45:29,SMP05,Laboratory 207,31.522,8194.675
2024-11-28 13:45:41,SMP05,Laboratory 207,31.522,8194.675
2024-11-28 13:45:53,SMP05,Laboratory 207,31.522,8194.675
2024-11-28 13:55:21,SMP05,Laboratory 207,32.778,8200.194
2024-11-28 13:55:34,SMP05,Laboratory 207,32.778,8200.194
2024-11-28 13:56:16,SMP05,Laboratory 207,32.645,8200.851
2024-11-28 13:56:28,SMP05,Laboratory 207,32.645,8200.851
2024-11-28 13:56:41,SMP05,Laboratory 207,32.645,8200.851
2024-11-28 13:56:53,SMP05,Laboratory 207,32.645,8200.851
2024-11-28 13:57:05,SMP05,Laboratory 207,95.201,8201.5
2024-11-28 13:57:17,SMP05,Laboratory 207,95.201,8201.5
2024-11-28 13:57:29,SMP05,Laboratory 207,95.201,8201.5
2024-11-28 13:57:41,SMP05,Laboratory 207,95.201,8201.5
2024-11-28 13:57:53,SMP05,Laboratory 207,95.201,8201.5
2024-11-28 13:58:05,SMP05,Laboratory 207,34.019,8202.18
2024-11-28 13:58:17,SMP05,Laboratory 207,34.019,8202.18
2024-11-28 13:58:29,SMP05,Laboratory 207,34.019,8202.18
2024-11-28 13:58:41,SMP05,Laboratory 207,34.019,8202.18
2024-11-28 13:58:54,SMP05,Laboratory 207,34.019,8202.18
2024-11-28 13:59:06,SMP05,Laboratory 207,29.001,8202.693
2024-11-28 13:59:18,SMP05,Laboratory 207,29.001,8202.693
2024-11-28 13:59:30,SMP05,Laboratory 207,29.001,8202.693
2024-11-28 13:59:42,SMP05,Laboratory 207,29.001,8202.693
2024-11-28 13:59:54,SMP05,Laboratory 207,29.001,8202.693
2024-11-28 14:00:07,SMP05,Laboratory 207,36.814,8203.218
2024-11-28 14:00:20,SMP05,Laboratory 207,36.814,8203.218
2024-11-28 14:00:32,SMP05,Laboratory 207,36.814,8203.218
2024-11-28 14:00:44,SMP05,Laboratory 207,36.814,8203.218
2024-11-28 14:00:56,SMP05,Laboratory 207,36.814,8203.218
2024-11-28 14:01:08,SMP05,Laboratory 207,36.602,8203.852
2024-11-28 14:01:20,SMP05,Laboratory 207,36.602,8203.852
2024-11-28 14:01:32,SMP05,Laboratory 207,36.602,8203.852
2024-11-28 14:01:44,SMP05,Laboratory 207,36.602,8203.852
2024-11-28 14:01:56,SMP05,Laboratory 207,36.602,8203.852
2024-11-28 14:02:08,SMP05,Laboratory 207,29.352,8204.529
2024-11-28 14:02:21,SMP05,Laboratory 207,29.352,8204.529
2024-11-28 14:02:33,SMP05,Laboratory 207,29.352,8204.529
2024-11-28 14:02:45,SMP05,Laboratory 207,29.352,8204.529
2024-11-28 14:02:57,SMP05,Laboratory 207,29.352,8204.529
2024-11-28 14:03:09,SMP05,Laboratory 207,37.043,8205.08
2024-11-28 14:03:21,SMP05,Laboratory 207,37.043,8205.08
2024-11-28 14:03:33,SMP05,Laboratory 207,37.043,8205.08
2024-11-28 14:03:45,SMP05,Laboratory 207,37.043,8205.08
2024-11-28 14:03:57,SMP05,Laboratory 207,37.043,8205.08
2024-11-28 14:04:09,SMP05,Laboratory 207,28.732,8205.567
2024-11-28 14:04:22,SMP05,Laboratory 207,28.732,8205.567
2024-11-28 14:04:34,SMP05,Laboratory 207,28.732,8205.567
2024-11-28 14:04:46,SMP05,Laboratory 207,28.732,8205.567
2024-11-28 14:04:58,SMP05,Laboratory 207,28.732,8205.567
2024-11-28 14:05:10,SMP05,Laboratory 207,40.931,8206.065
2024-11-28 14:05:22,SMP05,Laboratory 207,40.931,8206.065
2024-11-28 14:05:34,SMP05,Laboratory 207,40.931,8206.065
2024-11-28 14:05:46,SMP05,Laboratory 207,40.931,8206.065
2024-11-28 14:05:58,SMP05,Laboratory 207,40.931,8206.065
2024-11-28 14:06:10,SMP05,Laboratory 207,49.176,8206.58
2024-11-28 14:06:23,SMP05,Laboratory 207,49.176,8206.58
2024-11-28 14:06:35,SMP05,Laboratory 207,49.176,8206.58
2024-11-28 14:06:47,SMP05,Laboratory 207,49.176,8206.58
2024-11-28 14:06:59,SMP05,Laboratory 207,49.176,8206.58
2024-11-28 14:07:11,SMP05,Laboratory 207,30.601,8207.226
2024-11-28 14:07:23,SMP05,Laboratory 207,30.601,8207.226
2024-11-28 14:07:35,SMP05,Laboratory 207,30.601,8207.226
2024-11-28 14:07:47,SMP05,Laboratory 207,30.601,8207.226
2024-11-28 14:07:59,SMP05,Laboratory 207,30.601,8207.226
2024-11-28 14:08:11,SMP05,Laboratory 207,36.21,8207.78
2024-11-28 14:08:24,SMP05,Laboratory 207,36.21,8207.78
2024-11-28 14:08:36,SMP05,Laboratory 207,36.21,8207.78
2024-11-28 14:08:48,SMP05,Laboratory 207,36.21,8207.78
2024-11-28 14:09:00,SMP05,Laboratory 207,36.21,8207.78
2024-11-28 14:09:12,SMP05,Laboratory 207,33.776,8208.294
2024-11-28 14:09:24,SMP05,Laboratory 207,33.776,8208.294
2024-11-28 14:09:36,SMP05,Laboratory 207,33.776,8208.294
2024-11-28 14:09:48,SMP05,Laboratory 207,33.776,8208.294
2024-11-28 14:10:02,SMP05,Laboratory 207,27.207,8208.788
2024-11-28 14:10:15,SMP05,Laboratory 207,27.207,8208.788
2024-11-28 14:10:27,SMP05,Laboratory 207,27.207,8208.788
2024-11-28 14:10:39,SMP05,Laboratory 207,27.207,8208.788
2024-11-28 14:10:51,SMP05,Laboratory 207,27.207,8208.788
2024-11-28 14:11:03,SMP05,Laboratory 207,43.356,8209.415
2024-11-28 14:11:15,SMP05,Laboratory 207,43.356,8209.415
2024-11-28 14:11:27,SMP05,Laboratory 207,43.356,8209.415
2024-11-28 14:11:39,SMP05,Laboratory 207,43.356,8209.415
2024-11-28 14:11:52,SMP05,Laboratory 207,43.356,8209.415
2024-11-28 14:12:04,SMP05,Laboratory 207,40.443,8210.042
2024-11-28 14:12:16,SMP05,Laboratory 207,40.443,8210.042
2024-11-28 14:12:28,SMP05,Laboratory 207,40.443,8210.042
2024-11-28 14:12:40,SMP05,Laboratory 207,40.443,8210.042
2024-11-28 14:12:52,SMP05,Laboratory 207,40.443,8210.042
2024-11-28 14:13:04,SMP05,Laboratory 207,40.76,8210.543
2024-11-28 14:13:16,SMP05,Laboratory 207,40.76,8210.543
2024-11-28 14:13:29,SMP05,Laboratory 207,40.76,8210.543
2024-11-28 14:13:41,SMP05,Laboratory 207,40.76,8210.543
2024-11-28 14:13:53,SMP05,Laboratory 207,40.76,8210.543
2024-11-28 14:14:05,SMP05,Laboratory 207,30.047,8211.04
2024-11-28 14:14:17,SMP05,Laboratory 207,30.047,8211.04
2024-11-28 14:14:29,SMP05,Laboratory 207,30.047,8211.04
2024-11-28 14:14:41,SMP05,Laboratory 207,30.047,8211.04
2024-11-28 14:14:53,SMP05,Laboratory 207,30.047,8211.04
2024-11-28 14:15:05,SMP05,Laboratory 207,27.816,8211.534
2024-11-28 14:15:17,SMP05,Laboratory 207,27.816,8211.534
