Timestamp,Label,Location Name,Power (W),Energy (Wh)
2024-12-05 15:00:12,SMP15,Laboratory 205,30.47,16.645
2024-12-05 15:00:24,SMP15,Laboratory 205,30.47,16.645
2024-12-05 15:00:36,SMP15,Laboratory 205,30.47,16.645
2024-12-05 15:00:48,SMP15,Laboratory 205,30.47,16.645
2024-12-05 15:01:00,SMP15,Laboratory 205,22.99,16.648
2024-12-05 15:01:13,SMP15,Laboratory 205,22.99,16.648
2024-12-05 15:01:25,SMP15,Laboratory 205,22.99,16.648
2024-12-05 15:01:37,SMP15,Laboratory 205,22.99,16.648
2024-12-05 15:01:49,SMP15,Laboratory 205,22.99,16.648
2024-12-05 15:02:01,SMP15,Laboratory 205,22.99,16.648
2024-12-05 15:02:13,SMP15,Laboratory 205,22.99,16.648
2024-12-05 15:02:25,SMP15,Laboratory 205,22.99,16.648
2024-12-05 15:02:37,SMP15,Laboratory 205,22.99,16.648
2024-12-05 15:02:49,SMP15,Laboratory 205,22.99,16.648
2024-12-05 15:03:01,SMP15,Laboratory 205,22.99,16.648
2024-12-05 15:03:13,SMP15,Laboratory 205,22.99,16.648
2024-12-05 15:03:25,SMP15,Laboratory 205,22.99,16.648
2024-12-05 15:03:37,SMP15,Laboratory 205,22.99,16.648
2024-12-05 15:03:50,SMP15,Laboratory 205,22.99,16.648
2024-12-05 15:04:02,SMP15,Laboratory 205,22.99,16.648
2024-12-05 15:04:14,SMP15,Laboratory 205,22.99,16.648
2024-12-05 15:04:26,SMP15,Laboratory 205,22.99,16.648
2024-12-05 15:04:38,SMP15,Laboratory 205,22.99,16.648
2024-12-05 15:04:50,SMP15,Laboratory 205,22.99,16.648
2024-12-05 15:05:03,SMP15,Laboratory 205,22.99,16.648
2024-12-05 15:05:15,SMP15,Laboratory 205,22.99,16.648
2024-12-05 15:05:27,SMP15,Laboratory 205,22.99,16.648
2024-12-05 15:05:39,SMP15,Laboratory 205,22.99,16.648
2024-12-05 15:05:51,SMP15,Laboratory 205,22.99,16.648
2024-12-05 15:06:03,SMP15,Laboratory 205,22.99,16.648
2024-12-05 15:06:16,SMP15,Laboratory 205,43.97,16.651
2024-12-05 15:06:28,SMP15,Laboratory 205,43.97,16.651
2024-12-05 15:06:40,SMP15,Laboratory 205,43.97,16.651
2024-12-05 15:06:52,SMP15,Laboratory 205,43.97,16.651
2024-12-05 15:07:04,SMP15,Laboratory 205,43.97,16.651
2024-12-05 15:07:16,SMP15,Laboratory 205,43.97,16.651
2024-12-05 15:07:28,SMP15,Laboratory 205,43.97,16.651
2024-12-05 15:07:40,SMP15,Laboratory 205,43.97,16.651
2024-12-05 15:07:52,SMP15,Laboratory 205,43.97,16.651
2024-12-05 15:08:05,SMP15,Laboratory 205,43.97,16.651
2024-12-05 15:08:17,SMP15,Laboratory 205,43.97,16.651
2024-12-05 15:08:29,SMP15,Laboratory 205,43.97,16.651
2024-12-05 15:08:41,SMP15,Laboratory 205,43.97,16.651
2024-12-05 15:08:53,SMP15,Laboratory 205,43.97,16.651
2024-12-05 15:09:05,SMP15,Laboratory 205,43.97,16.651
2024-12-05 15:09:17,SMP15,Laboratory 205,43.97,16.651
2024-12-05 15:09:30,SMP15,Laboratory 205,43.97,16.651
2024-12-05 15:09:42,SMP15,Laboratory 205,43.97,16.651
2024-12-05 15:09:54,SMP15,Laboratory 205,43.97,16.651
2024-12-05 15:10:09,SMP15,Laboratory 205,43.97,16.651
2024-12-05 15:10:21,SMP15,Laboratory 205,43.97,16.651
2024-12-05 15:10:34,SMP15,Laboratory 205,43.97,16.651
2024-12-05 15:10:46,SMP15,Laboratory 205,43.97,16.651
2024-12-05 15:10:58,SMP15,Laboratory 205,43.97,16.651
2024-12-05 15:11:10,SMP15,Laboratory 205,43.97,16.651
2024-12-05 15:11:22,SMP15,Laboratory 205,25.93,16.653
2024-12-05 15:11:34,SMP15,Laboratory 205,25.93,16.653
2024-12-05 15:11:46,SMP15,Laboratory 205,25.93,16.653
2024-12-05 15:11:58,SMP15,Laboratory 205,25.93,16.653
2024-12-05 15:12:10,SMP15,Laboratory 205,25.93,16.653
2024-12-05 15:12:23,SMP15,Laboratory 205,25.93,16.653
2024-12-05 15:12:35,SMP15,Laboratory 205,25.93,16.653
2024-12-05 15:12:47,SMP15,Laboratory 205,25.93,16.653
2024-12-05 15:12:59,SMP15,Laboratory 205,25.93,16.653
2024-12-05 15:13:11,SMP15,Laboratory 205,25.93,16.653
2024-12-05 15:13:24,SMP15,Laboratory 205,25.93,16.653
2024-12-05 15:13:36,SMP15,Laboratory 205,25.93,16.653
2024-12-05 15:13:48,SMP15,Laboratory 205,25.93,16.653
2024-12-05 15:14:00,SMP15,Laboratory 205,25.93,16.653
2024-12-05 15:14:12,SMP15,Laboratory 205,25.93,16.653
2024-12-05 15:14:24,SMP15,Laboratory 205,25.93,16.653
2024-12-05 15:14:36,SMP15,Laboratory 205,25.93,16.653
2024-12-05 15:14:49,SMP15,Laboratory 205,25.93,16.653
2024-12-05 15:15:01,SMP15,Laboratory 205,25.93,16.653
2024-12-05 15:57:36,SMP15,Laboratory 205,53.5,16.679
2024-12-05 15:57:48,SMP15,Laboratory 205,53.5,16.679
2024-12-05 15:58:00,SMP15,Laboratory 205,53.5,16.679
2024-12-05 15:58:12,SMP15,Laboratory 205,53.5,16.679
2024-12-05 15:58:24,SMP15,Laboratory 205,53.5,16.679
2024-12-05 15:58:36,SMP15,Laboratory 205,53.5,16.679
2024-12-05 15:58:48,SMP15,Laboratory 205,53.5,16.679
2024-12-05 15:59:00,SMP15,Laboratory 205,53.5,16.679
2024-12-05 15:59:13,SMP15,Laboratory 205,53.5,16.679
2024-12-05 15:59:25,SMP15,Laboratory 205,53.5,16.679
2024-12-05 15:59:37,SMP15,Laboratory 205,53.5,16.679
2024-12-05 15:59:49,SMP15,Laboratory 205,53.5,16.679
2024-12-05 16:00:03,SMP15,Laboratory 205,53.5,16.679
2024-12-05 16:00:15,SMP15,Laboratory 205,53.5,16.679
2024-12-05 16:00:27,SMP15,Laboratory 205,53.5,16.679
2024-12-05 16:00:39,SMP15,Laboratory 205,53.5,16.679
2024-12-05 16:00:51,SMP15,Laboratory 205,53.5,16.679
2024-12-05 16:01:03,SMP15,Laboratory 205,53.5,16.679
2024-12-05 16:01:16,SMP15,Laboratory 205,53.5,16.679
2024-12-05 16:01:28,SMP15,Laboratory 205,53.5,16.679
2024-12-05 16:01:40,SMP15,Laboratory 205,53.5,16.679
2024-12-05 16:01:52,SMP15,Laboratory 205,53.5,16.679
2024-12-05 16:02:04,SMP15,Laboratory 205,53.5,16.679
