Timestamp,Label,Location Name,Power (W),Energy (Wh)
2024-12-05 15:00:12,SMP16,Laboratory 207,7.434,146.085
2024-12-05 15:00:24,SMP16,Laboratory 207,7.434,146.085
2024-12-05 15:00:36,SMP16,Laboratory 207,7.434,146.085
2024-12-05 15:00:48,SMP16,Laboratory 207,7.434,146.085
2024-12-05 15:01:00,SMP16,Laboratory 207,7.434,146.085
2024-12-05 15:01:13,SMP16,Laboratory 207,7.418,146.209
2024-12-05 15:01:25,SMP16,Laboratory 207,7.418,146.209
2024-12-05 15:01:37,SMP16,Laboratory 207,7.418,146.209
2024-12-05 15:01:49,SMP16,Laboratory 207,7.418,146.209
2024-12-05 15:02:01,SMP16,Laboratory 207,7.418,146.209
2024-12-05 15:02:13,SMP16,Laboratory 207,7.391,146.333
2024-12-05 15:02:25,SMP16,Laboratory 207,7.391,146.333
2024-12-05 15:02:37,SMP16,Laboratory 207,7.391,146.333
2024-12-05 15:02:49,SMP16,Laboratory 207,7.391,146.333
2024-12-05 15:03:01,SMP16,Laboratory 207,7.391,146.333
2024-12-05 15:03:13,SMP16,Laboratory 207,7.417,146.457
2024-12-05 15:03:25,SMP16,Laboratory 207,7.417,146.457
2024-12-05 15:03:37,SMP16,Laboratory 207,7.417,146.457
2024-12-05 15:03:50,SMP16,Laboratory 207,7.417,146.457
2024-12-05 15:04:02,SMP16,Laboratory 207,7.417,146.457
2024-12-05 15:04:14,SMP16,Laboratory 207,7.465,146.58
2024-12-05 15:04:26,SMP16,Laboratory 207,7.465,146.58
2024-12-05 15:04:38,SMP16,Laboratory 207,7.465,146.58
2024-12-05 15:04:50,SMP16,Laboratory 207,7.465,146.58
2024-12-05 15:05:03,SMP16,Laboratory 207,7.465,146.58
2024-12-05 15:05:15,SMP16,Laboratory 207,7.482,146.705
2024-12-05 15:05:27,SMP16,Laboratory 207,7.482,146.705
2024-12-05 15:05:39,SMP16,Laboratory 207,7.482,146.705
2024-12-05 15:05:51,SMP16,Laboratory 207,7.482,146.705
2024-12-05 15:06:03,SMP16,Laboratory 207,7.482,146.705
2024-12-05 15:06:16,SMP16,Laboratory 207,7.429,146.828
2024-12-05 15:06:28,SMP16,Laboratory 207,7.429,146.828
2024-12-05 15:06:40,SMP16,Laboratory 207,7.429,146.828
2024-12-05 15:06:52,SMP16,Laboratory 207,7.429,146.828
2024-12-05 15:07:04,SMP16,Laboratory 207,7.429,146.828
2024-12-05 15:07:16,SMP16,Laboratory 207,7.48,146.952
2024-12-05 15:07:28,SMP16,Laboratory 207,7.48,146.952
2024-12-05 15:07:40,SMP16,Laboratory 207,7.48,146.952
2024-12-05 15:07:52,SMP16,Laboratory 207,7.48,146.952
2024-12-05 15:08:05,SMP16,Laboratory 207,7.48,146.952
2024-12-05 15:08:17,SMP16,Laboratory 207,7.402,147.076
2024-12-05 15:08:29,SMP16,Laboratory 207,7.402,147.076
2024-12-05 15:08:41,SMP16,Laboratory 207,7.402,147.076
2024-12-05 15:08:53,SMP16,Laboratory 207,7.402,147.076
2024-12-05 15:09:05,SMP16,Laboratory 207,7.402,147.076
2024-12-05 15:09:17,SMP16,Laboratory 207,7.408,147.2
2024-12-05 15:09:30,SMP16,Laboratory 207,7.408,147.2
2024-12-05 15:09:42,SMP16,Laboratory 207,7.408,147.2
2024-12-05 15:09:54,SMP16,Laboratory 207,7.408,147.2
2024-12-05 15:10:09,SMP16,Laboratory 207,7.375,147.324
2024-12-05 15:10:21,SMP16,Laboratory 207,7.375,147.324
2024-12-05 15:10:34,SMP16,Laboratory 207,7.375,147.324
2024-12-05 15:10:46,SMP16,Laboratory 207,7.375,147.324
2024-12-05 15:10:58,SMP16,Laboratory 207,7.375,147.324
2024-12-05 15:11:10,SMP16,Laboratory 207,7.422,147.448
2024-12-05 15:11:22,SMP16,Laboratory 207,7.422,147.448
2024-12-05 15:11:34,SMP16,Laboratory 207,7.422,147.448
2024-12-05 15:11:46,SMP16,Laboratory 207,7.422,147.448
2024-12-05 15:11:58,SMP16,Laboratory 207,7.422,147.448
2024-12-05 15:12:10,SMP16,Laboratory 207,7.427,147.572
2024-12-05 15:12:23,SMP16,Laboratory 207,7.427,147.572
2024-12-05 15:12:35,SMP16,Laboratory 207,7.427,147.572
2024-12-05 15:12:47,SMP16,Laboratory 207,7.427,147.572
2024-12-05 15:12:59,SMP16,Laboratory 207,7.427,147.572
2024-12-05 15:13:11,SMP16,Laboratory 207,7.419,147.696
2024-12-05 15:13:24,SMP16,Laboratory 207,7.419,147.696
2024-12-05 15:13:36,SMP16,Laboratory 207,7.419,147.696
2024-12-05 15:13:48,SMP16,Laboratory 207,7.419,147.696
2024-12-05 15:14:00,SMP16,Laboratory 207,7.419,147.696
2024-12-05 15:14:12,SMP16,Laboratory 207,7.49,147.82
2024-12-05 15:14:24,SMP16,Laboratory 207,7.49,147.82
2024-12-05 15:14:36,SMP16,Laboratory 207,7.49,147.82
2024-12-05 15:14:49,SMP16,Laboratory 207,7.49,147.82
2024-12-05 15:15:01,SMP16,Laboratory 207,7.49,147.82
2024-12-05 15:57:36,SMP16,Laboratory 207,7.376,153.152
2024-12-05 15:57:48,SMP16,Laboratory 207,7.376,153.152
2024-12-05 15:58:00,SMP16,Laboratory 207,7.376,153.152
2024-12-05 15:58:12,SMP16,Laboratory 207,7.361,153.276
2024-12-05 15:58:24,SMP16,Laboratory 207,7.361,153.276
2024-12-05 15:58:36,SMP16,Laboratory 207,7.361,153.276
2024-12-05 15:58:48,SMP16,Laboratory 207,7.361,153.276
2024-12-05 15:59:00,SMP16,Laboratory 207,7.361,153.276
2024-12-05 15:59:13,SMP16,Laboratory 207,7.379,153.4
2024-12-05 15:59:25,SMP16,Laboratory 207,7.379,153.4
2024-12-05 15:59:37,SMP16,Laboratory 207,7.379,153.4
2024-12-05 15:59:49,SMP16,Laboratory 207,7.379,153.4
2024-12-05 16:00:03,SMP16,Laboratory 207,7.379,153.4
2024-12-05 16:00:15,SMP16,Laboratory 207,7.417,153.523
2024-12-05 16:00:27,SMP16,Laboratory 207,7.417,153.523
2024-12-05 16:00:39,SMP16,Laboratory 207,7.417,153.523
2024-12-05 16:00:51,SMP16,Laboratory 207,7.417,153.523
2024-12-05 16:01:03,SMP16,Laboratory 207,7.417,153.523
2024-12-05 16:01:16,SMP16,Laboratory 207,7.422,153.647
2024-12-05 16:01:28,SMP16,Laboratory 207,7.422,153.647
2024-12-05 16:01:40,SMP16,Laboratory 207,7.422,153.647
2024-12-05 16:01:52,SMP16,Laboratory 207,7.422,153.647
2024-12-05 16:02:04,SMP16,Laboratory 207,7.422,153.647
2024-12-05 16:02:16,SMP16,Laboratory 207,7.423,153.77
2024-12-05 16:02:28,SMP16,Laboratory 207,7.423,153.77
2024-12-05 16:02:40,SMP16,Laboratory 207,7.423,153.77
2024-12-05 16:02:52,SMP16,Laboratory 207,7.423,153.77
2024-12-05 16:03:05,SMP16,Laboratory 207,7.423,153.77
2024-12-05 16:03:17,SMP16,Laboratory 207,7.433,153.894
2024-12-05 16:03:29,SMP16,Laboratory 207,7.433,153.894
2024-12-05 16:03:41,SMP16,Laboratory 207,7.433,153.894
2024-12-05 16:03:53,SMP16,Laboratory 207,7.433,153.894
2024-12-05 16:04:05,SMP16,Laboratory 207,7.433,153.894
2024-12-05 16:04:17,SMP16,Laboratory 207,7.394,154.018
2024-12-05 16:04:29,SMP16,Laboratory 207,7.394,154.018
2024-12-05 16:04:41,SMP16,Laboratory 207,7.394,154.018
2024-12-05 16:04:53,SMP16,Laboratory 207,7.394,154.018
2024-12-05 16:05:05,SMP16,Laboratory 207,7.394,154.018
2024-12-05 16:05:18,SMP16,Laboratory 207,7.431,154.141
2024-12-05 16:05:30,SMP16,Laboratory 207,7.431,154.141
2024-12-05 16:05:42,SMP16,Laboratory 207,7.431,154.141
2024-12-05 16:05:54,SMP16,Laboratory 207,7.431,154.141
2024-12-05 16:06:06,SMP16,Laboratory 207,7.416,154.265
2024-12-05 16:06:18,SMP16,Laboratory 207,7.416,154.265
