Timestamp,Label,Location Name,Power (W),Energy (Wh)
2024-12-05 15:00:12,SMP17,Laboratory 207,0.218,78.596
2024-12-05 15:00:24,SMP17,Laboratory 207,0.218,78.596
2024-12-05 15:00:36,SMP17,Laboratory 207,0.246,78.6
2024-12-05 15:00:48,SMP17,Laboratory 207,0.246,78.6
2024-12-05 15:01:00,SMP17,Laboratory 207,0.246,78.6
2024-12-05 15:01:13,SMP17,Laboratory 207,0.246,78.6
2024-12-05 15:01:25,SMP17,Laboratory 207,0.246,78.6
2024-12-05 15:01:37,SMP17,Laboratory 207,0.261,78.604
2024-12-05 15:01:49,SMP17,Laboratory 207,0.261,78.604
2024-12-05 15:02:01,SMP17,Laboratory 207,0.261,78.604
2024-12-05 15:02:13,SMP17,Laboratory 207,0.261,78.604
2024-12-05 15:02:25,SMP17,Laboratory 207,0.261,78.604
2024-12-05 15:02:37,SMP17,Laboratory 207,0.248,78.608
2024-12-05 15:02:49,SMP17,Laboratory 207,0.248,78.608
2024-12-05 15:03:01,SMP17,Laboratory 207,0.248,78.608
2024-12-05 15:03:13,SMP17,Laboratory 207,0.248,78.608
2024-12-05 15:03:25,SMP17,Laboratory 207,0.248,78.608
2024-12-05 15:03:38,SMP17,Laboratory 207,0.226,78.612
2024-12-05 15:03:50,SMP17,Laboratory 207,0.226,78.612
2024-12-05 15:04:02,SMP17,Laboratory 207,0.226,78.612
2024-12-05 15:04:14,SMP17,Laboratory 207,0.226,78.612
2024-12-05 15:04:26,SMP17,Laboratory 207,0.226,78.612
2024-12-05 15:04:38,SMP17,Laboratory 207,0.24,78.616
2024-12-05 15:04:50,SMP17,Laboratory 207,0.24,78.616
2024-12-05 15:05:03,SMP17,Laboratory 207,0.24,78.616
2024-12-05 15:05:15,SMP17,Laboratory 207,0.24,78.616
2024-12-05 15:05:27,SMP17,Laboratory 207,0.24,78.616
2024-12-05 15:05:39,SMP17,Laboratory 207,0.256,78.621
2024-12-05 15:05:51,SMP17,Laboratory 207,0.256,78.621
2024-12-05 15:06:03,SMP17,Laboratory 207,0.256,78.621
2024-12-05 15:06:16,SMP17,Laboratory 207,0.256,78.621
2024-12-05 15:06:28,SMP17,Laboratory 207,0.256,78.621
