Timestamp,Label,Location Name,Power (W),Energy (Wh)
2024-12-05 15:00:12,SMP18,Laboratory 207,0.307,27.927
2024-12-05 15:00:24,SMP18,Laboratory 207,0.307,27.927
2024-12-05 15:00:36,SMP18,Laboratory 207,0.282,27.931
2024-12-05 15:00:48,SMP18,Laboratory 207,0.282,27.931
2024-12-05 15:01:00,SMP18,Laboratory 207,0.282,27.931
2024-12-05 15:01:13,SMP18,Laboratory 207,0.282,27.931
2024-12-05 15:01:25,SMP18,Laboratory 207,0.282,27.931
2024-12-05 15:01:37,SMP18,Laboratory 207,0.273,27.936
2024-12-05 15:01:49,SMP18,Laboratory 207,0.273,27.936
2024-12-05 15:02:01,SMP18,Laboratory 207,0.273,27.936
2024-12-05 15:02:13,SMP18,Laboratory 207,0.273,27.936
2024-12-05 15:02:25,SMP18,Laboratory 207,0.273,27.936
2024-12-05 15:02:37,SMP18,Laboratory 207,0.317,27.941
2024-12-05 15:02:49,SMP18,Laboratory 207,0.317,27.941
2024-12-05 15:03:01,SMP18,Laboratory 207,0.317,27.941
2024-12-05 15:03:13,SMP18,Laboratory 207,0.317,27.941
2024-12-05 15:03:25,SMP18,Laboratory 207,0.259,27.945
2024-12-05 15:03:37,SMP18,Laboratory 207,0.259,27.945
2024-12-05 15:03:50,SMP18,Laboratory 207,0.259,27.945
2024-12-05 15:04:02,SMP18,Laboratory 207,0.259,27.945
2024-12-05 15:04:14,SMP18,Laboratory 207,0.259,27.945
2024-12-05 15:04:26,SMP18,Laboratory 207,0.267,27.95
2024-12-05 15:04:38,SMP18,Laboratory 207,0.267,27.95
2024-12-05 15:04:50,SMP18,Laboratory 207,0.267,27.95
2024-12-05 15:05:03,SMP18,Laboratory 207,0.267,27.95
2024-12-05 15:05:15,SMP18,Laboratory 207,0.267,27.95
2024-12-05 15:05:27,SMP18,Laboratory 207,0.267,27.954
2024-12-05 15:05:39,SMP18,Laboratory 207,0.267,27.954
2024-12-05 15:05:51,SMP18,Laboratory 207,0.267,27.954
2024-12-05 15:06:03,SMP18,Laboratory 207,0.267,27.954
2024-12-05 15:06:16,SMP18,Laboratory 207,0.267,27.954
2024-12-05 15:06:28,SMP18,Laboratory 207,0.282,27.959
2024-12-05 15:06:40,SMP18,Laboratory 207,0.282,27.959
2024-12-05 15:06:52,SMP18,Laboratory 207,0.282,27.959
2024-12-05 15:07:04,SMP18,Laboratory 207,0.282,27.959
2024-12-05 15:07:16,SMP18,Laboratory 207,0.282,27.959
