Timestamp,Label,Location Name,Power (W),Energy (Wh)
2024-12-05 15:00:12,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:00:24,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:00:36,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:00:48,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:01:00,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:01:13,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:01:25,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:01:37,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:01:49,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:02:01,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:02:13,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:02:25,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:02:37,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:02:49,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:03:01,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:03:13,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:03:25,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:03:37,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:03:50,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:04:02,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:04:14,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:04:26,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:04:38,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:04:50,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:05:03,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:05:15,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:05:27,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:05:39,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:05:51,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:06:03,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:06:16,SMP19,Laboratory 207,0.042,0.034
2024-12-05 15:06:28,SMP19,Laboratory 207,0.042,0.034
