Timestamp,Label,Location Name,Power (W),Energy (Wh)
2024-12-05 15:00:12,SMP20,Laboratory 207,0.666,666.866
2024-12-05 15:00:24,SMP20,Laboratory 207,0.666,666.866
2024-12-05 15:00:36,SMP20,Laboratory 207,0.666,666.866
2024-12-05 15:00:48,SMP20,Laboratory 207,0.666,666.866
2024-12-05 15:01:00,SMP20,Laboratory 207,0.666,666.866
2024-12-05 15:01:13,SMP20,Laboratory 207,0.646,666.896
2024-12-05 15:01:25,SMP20,Laboratory 207,0.646,666.896
2024-12-05 15:01:37,SMP20,Laboratory 207,0.646,666.896
2024-12-05 15:01:49,SMP20,Laboratory 207,0.646,666.896
2024-12-05 15:02:01,SMP20,Laboratory 207,0.646,666.896
2024-12-05 15:02:13,SMP20,Laboratory 207,1.756,666.922
2024-12-05 15:02:25,SMP20,Laboratory 207,1.756,666.922
2024-12-05 15:02:37,SMP20,Laboratory 207,1.756,666.922
2024-12-05 15:02:49,SMP20,Laboratory 207,1.756,666.922
2024-12-05 15:03:01,SMP20,Laboratory 207,1.756,666.922
2024-12-05 15:03:13,SMP20,Laboratory 207,0.645,666.933
2024-12-05 15:03:25,SMP20,Laboratory 207,0.645,666.933
2024-12-05 15:03:37,SMP20,Laboratory 207,0.645,666.933
2024-12-05 15:03:50,SMP20,Laboratory 207,0.645,666.933
2024-12-05 15:04:02,SMP20,Laboratory 207,0.645,666.933
2024-12-05 15:04:14,SMP20,Laboratory 207,0.637,666.961
2024-12-05 15:04:26,SMP20,Laboratory 207,0.637,666.961
2024-12-05 15:04:38,SMP20,Laboratory 207,0.637,666.961
2024-12-05 15:04:50,SMP20,Laboratory 207,0.637,666.961
2024-12-05 15:05:03,SMP20,Laboratory 207,0.637,666.961
2024-12-05 15:05:15,SMP20,Laboratory 207,0.648,666.972
2024-12-05 15:05:27,SMP20,Laboratory 207,0.648,666.972
2024-12-05 15:05:39,SMP20,Laboratory 207,0.648,666.972
2024-12-05 15:05:51,SMP20,Laboratory 207,0.648,666.972
2024-12-05 15:06:03,SMP20,Laboratory 207,0.641,666.991
2024-12-05 15:06:16,SMP20,Laboratory 207,0.641,666.991
2024-12-05 15:06:28,SMP20,Laboratory 207,0.641,666.991
2024-12-05 15:06:40,SMP20,Laboratory 207,0.641,666.991
2024-12-05 15:06:52,SMP20,Laboratory 207,0.641,666.991
2024-12-05 15:07:04,SMP20,Laboratory 207,0.647,667.023
2024-12-05 15:07:16,SMP20,Laboratory 207,0.647,667.023
2024-12-05 15:07:28,SMP20,Laboratory 207,0.647,667.023
2024-12-05 15:07:40,SMP20,Laboratory 207,0.647,667.023
2024-12-05 15:07:53,SMP20,Laboratory 207,0.647,667.023
2024-12-05 15:08:05,SMP20,Laboratory 207,0.632,667.034
2024-12-05 15:08:17,SMP20,Laboratory 207,0.632,667.034
2024-12-05 15:08:29,SMP20,Laboratory 207,0.632,667.034
2024-12-05 15:08:41,SMP20,Laboratory 207,0.632,667.034
2024-12-05 15:08:53,SMP20,Laboratory 207,0.632,667.034
2024-12-05 15:09:05,SMP20,Laboratory 207,0.64,667.044
2024-12-05 15:09:17,SMP20,Laboratory 207,0.64,667.044
2024-12-05 15:09:30,SMP20,Laboratory 207,0.64,667.044
2024-12-05 15:09:42,SMP20,Laboratory 207,0.64,667.044
2024-12-05 15:09:54,SMP20,Laboratory 207,0.64,667.044
2024-12-05 15:10:09,SMP20,Laboratory 207,0.645,667.072
2024-12-05 15:10:21,SMP20,Laboratory 207,0.645,667.072
2024-12-05 15:10:34,SMP20,Laboratory 207,0.645,667.072
