Timestamp,Label,Location Name,Power (W),Energy (Wh)
2025-01-08 13:28:31,SMP01,Laboratory 207,28.535,24780.844
2025-01-08 13:28:43,SMP01,Laboratory 207,28.595,24781.315
2025-01-08 13:29:24,SMP01,Laboratory 207,28.595,24781.315
2025-01-08 13:29:37,SMP01,Laboratory 207,28.595,24781.315
2025-01-08 13:29:49,SMP01,Laboratory 207,28.639,24781.79
2025-01-08 13:30:02,SMP01,Laboratory 207,28.639,24781.79
2025-01-08 13:30:14,SMP01,Laboratory 207,28.639,24781.79
2025-01-08 13:30:26,SMP01,Laboratory 207,28.639,24781.79
2025-01-08 13:30:39,SMP01,Laboratory 207,28.639,24781.79
2025-01-08 13:30:51,SMP01,Laboratory 207,28.569,24782.263
2025-01-08 13:31:04,SMP01,Laboratory 207,28.569,24782.263
2025-01-08 13:31:16,SMP01,Laboratory 207,28.569,24782.263
2025-01-08 13:31:29,SMP01,Laboratory 207,28.569,24782.263
2025-01-08 13:31:42,SMP01,Laboratory 207,28.411,24782.738
2025-01-08 13:31:54,SMP01,Laboratory 207,28.411,24782.738
2025-01-08 13:32:06,SMP01,Laboratory 207,28.411,24782.738
2025-01-08 13:32:19,SMP01,Laboratory 207,28.411,24782.738
2025-01-08 13:32:31,SMP01,Laboratory 207,28.411,24782.738
2025-01-08 13:32:43,SMP01,Laboratory 207,1.74,24783
2025-01-08 13:32:56,SMP01,Laboratory 207,1.74,24783
2025-01-08 13:33:08,SMP01,Laboratory 207,1.74,24783
2025-01-08 13:33:21,SMP01,Laboratory 207,1.74,24783
2025-01-08 13:33:33,SMP01,Laboratory 207,1.74,24783
2025-01-08 13:33:46,SMP01,Laboratory 207,1.184,24783.021
2025-01-08 13:33:58,SMP01,Laboratory 207,1.184,24783.021
2025-01-08 13:34:10,SMP01,Laboratory 207,1.184,24783.021
2025-01-08 13:34:23,SMP01,Laboratory 207,1.184,24783.021
2025-01-08 13:34:35,SMP01,Laboratory 207,1.184,24783.021
2025-01-08 13:34:48,SMP01,Laboratory 207,0.681,24783.036
2025-01-08 13:35:00,SMP01,Laboratory 207,0.681,24783.036
2025-01-08 13:35:13,SMP01,Laboratory 207,0.681,24783.036
2025-01-08 13:35:25,SMP01,Laboratory 207,0.681,24783.036
2025-01-08 13:35:38,SMP01,Laboratory 207,0.681,24783.036
2025-01-08 13:35:50,SMP01,Laboratory 207,0.706,24783.047
2025-01-08 13:36:02,SMP01,Laboratory 207,0.706,24783.047
2025-01-08 13:36:15,SMP01,Laboratory 207,0.706,24783.047
2025-01-08 13:36:27,SMP01,Laboratory 207,0.706,24783.047
2025-01-08 13:36:40,SMP01,Laboratory 207,0.706,24783.058
2025-01-08 13:36:52,SMP01,Laboratory 207,0.706,24783.058
2025-01-08 13:37:04,SMP01,Laboratory 207,0.706,24783.058
2025-01-08 13:37:17,SMP01,Laboratory 207,0.706,24783.058
2025-01-08 13:37:29,SMP01,Laboratory 207,0.706,24783.058
2025-01-08 13:37:42,SMP01,Laboratory 207,0.688,24783.07
2025-01-08 13:37:54,SMP01,Laboratory 207,0.688,24783.07
2025-01-08 13:38:07,SMP01,Laboratory 207,0.688,24783.07
2025-01-08 13:38:19,SMP01,Laboratory 207,0.688,24783.07
2025-01-08 13:38:32,SMP01,Laboratory 207,0.688,24783.07
2025-01-08 13:38:44,SMP01,Laboratory 207,0.631,24783.081
2025-01-08 13:38:56,SMP01,Laboratory 207,0.631,24783.081
2025-01-08 13:39:09,SMP01,Laboratory 207,0.631,24783.081
2025-01-08 13:39:21,SMP01,Laboratory 207,0.631,24783.081
2025-01-08 13:39:34,SMP01,Laboratory 207,0.631,24783.081
2025-01-08 13:39:46,SMP01,Laboratory 207,0.658,24783.092
2025-01-08 13:39:58,SMP01,Laboratory 207,0.658,24783.092
2025-01-08 13:40:13,SMP01,Laboratory 207,0.658,24783.092
2025-01-08 13:40:25,SMP01,Laboratory 207,0.658,24783.092
2025-01-08 13:40:37,SMP01,Laboratory 207,0.658,24783.092
2025-01-08 13:40:50,SMP01,Laboratory 207,0.682,24783.103
2025-01-08 13:41:02,SMP01,Laboratory 207,0.682,24783.103
2025-01-08 13:41:14,SMP01,Laboratory 207,0.682,24783.103
2025-01-08 13:41:26,SMP01,Laboratory 207,0.682,24783.103
2025-01-08 13:41:38,SMP01,Laboratory 207,0.682,24783.103
2025-01-08 13:41:51,SMP01,Laboratory 207,0.692,24783.115
2025-01-08 13:42:03,SMP01,Laboratory 207,0.692,24783.115
2025-01-08 13:42:15,SMP01,Laboratory 207,0.692,24783.115
2025-01-08 13:42:27,SMP01,Laboratory 207,0.692,24783.115
2025-01-08 13:42:39,SMP01,Laboratory 207,0.677,24783.115
2025-01-08 13:42:51,SMP01,Laboratory 207,0.677,24783.126
2025-01-08 13:43:03,SMP01,Laboratory 207,0.677,24783.126
2025-01-08 13:43:15,SMP01,Laboratory 207,0.677,24783.126
2025-01-08 13:43:28,SMP01,Laboratory 207,0.677,24783.126
2025-01-08 13:43:40,SMP01,Laboratory 207,0.66,24783.137
2025-01-08 13:43:52,SMP01,Laboratory 207,0.66,24783.137
2025-01-08 13:44:04,SMP01,Laboratory 207,0.66,24783.137
2025-01-08 13:44:16,SMP01,Laboratory 207,0.66,24783.137
2025-01-08 13:44:28,SMP01,Laboratory 207,0.66,24783.137
2025-01-08 13:44:40,SMP01,Laboratory 207,0.663,24783.148
2025-01-08 13:44:52,SMP01,Laboratory 207,0.663,24783.148
2025-01-08 13:45:04,SMP01,Laboratory 207,0.663,24783.148
2025-01-08 13:45:16,SMP01,Laboratory 207,0.663,24783.148
2025-01-08 13:45:29,SMP01,Laboratory 207,0.663,24783.148
2025-01-08 13:45:41,SMP01,Laboratory 207,0.629,24783.16
2025-01-08 13:45:53,SMP01,Laboratory 207,0.629,24783.16
2025-01-08 13:46:05,SMP01,Laboratory 207,0.629,24783.16
2025-01-08 13:46:17,SMP01,Laboratory 207,0.629,24783.16
2025-01-08 13:46:29,SMP01,Laboratory 207,0.629,24783.16
2025-01-08 13:46:42,SMP01,Laboratory 207,0.678,24783.171
2025-01-08 13:46:54,SMP01,Laboratory 207,0.678,24783.171
2025-01-08 13:47:06,SMP01,Laboratory 207,0.678,24783.171
2025-01-08 13:47:18,SMP01,Laboratory 207,0.678,24783.171
2025-01-08 13:47:31,SMP01,Laboratory 207,0.678,24783.171
2025-01-08 13:47:43,SMP01,Laboratory 207,32.888,24783.388
2025-01-08 13:47:55,SMP01,Laboratory 207,32.888,24783.388
2025-01-08 13:48:07,SMP01,Laboratory 207,32.888,24783.388
2025-01-08 13:48:20,SMP01,Laboratory 207,32.888,24783.388
2025-01-08 13:48:32,SMP01,Laboratory 207,32.888,24783.388
