Timestamp,Label,Location Name,Power (W),Energy (Wh)
2025-01-08 13:28:31,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:28:43,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:29:24,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:29:37,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:29:49,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:30:02,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:30:14,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:30:26,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:30:39,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:30:51,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:31:04,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:31:16,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:31:29,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:31:41,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:31:54,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:32:06,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:32:19,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:32:31,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:32:43,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:32:56,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:33:08,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:33:20,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:33:33,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:33:46,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:33:58,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:34:11,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:34:23,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:34:35,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:34:48,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:35:00,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:35:13,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:35:25,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:35:38,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:35:50,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:36:02,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:36:15,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:36:27,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:36:40,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:36:52,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:37:04,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:37:17,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:37:29,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:37:42,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:37:54,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:38:07,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:38:19,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:38:32,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:38:44,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:38:56,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:39:09,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:39:21,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:39:33,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:39:46,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:39:58,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:40:13,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:40:25,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:40:37,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:40:50,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:41:02,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:41:14,SMP08,Laboratory 205,15.45,10.505
2025-01-08 13:41:26,SMP08,Laboratory 205,15.45,10.505
