Timestamp,Label,Location Name,Power (W),Energy (Wh)
2025-01-08 13:28:31,SMP16,Laboratory 207,2.908,1048.345
2025-01-08 13:28:43,SMP16,Laboratory 207,2.908,1048.345
2025-01-08 13:29:24,SMP16,Laboratory 207,2.907,1048.394
2025-01-08 13:29:37,SMP16,Laboratory 207,2.907,1048.394
2025-01-08 13:29:49,SMP16,Laboratory 207,2.907,1048.394
2025-01-08 13:30:02,SMP16,Laboratory 207,2.856,1048.442
2025-01-08 13:30:14,SMP16,Laboratory 207,2.856,1048.442
2025-01-08 13:30:27,SMP16,Laboratory 207,2.856,1048.442
2025-01-08 13:30:39,SMP16,Laboratory 207,2.856,1048.442
2025-01-08 13:30:51,SMP16,Laboratory 207,2.856,1048.442
2025-01-08 13:31:04,SMP16,Laboratory 207,2.89,1048.49
2025-01-08 13:31:16,SMP16,Laboratory 207,2.89,1048.49
2025-01-08 13:31:29,SMP16,Laboratory 207,2.89,1048.49
2025-01-08 13:31:41,SMP16,Laboratory 207,2.89,1048.49
2025-01-08 13:31:54,SMP16,Laboratory 207,2.89,1048.49
2025-01-08 13:32:06,SMP16,Laboratory 207,2.895,1048.539
2025-01-08 13:32:19,SMP16,Laboratory 207,2.895,1048.539
2025-01-08 13:32:31,SMP16,Laboratory 207,2.895,1048.539
2025-01-08 13:32:43,SMP16,Laboratory 207,2.895,1048.539
2025-01-08 13:32:56,SMP16,Laboratory 207,2.867,1048.587
2025-01-08 13:33:08,SMP16,Laboratory 207,2.867,1048.587
2025-01-08 13:33:21,SMP16,Laboratory 207,2.867,1048.587
2025-01-08 13:33:33,SMP16,Laboratory 207,2.867,1048.587
2025-01-08 13:33:46,SMP16,Laboratory 207,2.867,1048.587
2025-01-08 13:33:58,SMP16,Laboratory 207,2.873,1048.635
2025-01-08 13:34:11,SMP16,Laboratory 207,2.873,1048.635
2025-01-08 13:34:23,SMP16,Laboratory 207,2.873,1048.635
2025-01-08 13:34:35,SMP16,Laboratory 207,2.873,1048.635
2025-01-08 13:34:48,SMP16,Laboratory 207,2.873,1048.635
2025-01-08 13:35:00,SMP16,Laboratory 207,2.906,1048.683
2025-01-08 13:35:13,SMP16,Laboratory 207,2.906,1048.683
2025-01-08 13:35:25,SMP16,Laboratory 207,2.906,1048.683
2025-01-08 13:35:38,SMP16,Laboratory 207,2.906,1048.683
2025-01-08 13:35:50,SMP16,Laboratory 207,2.906,1048.683
2025-01-08 13:36:02,SMP16,Laboratory 207,2.901,1048.732
2025-01-08 13:36:15,SMP16,Laboratory 207,2.901,1048.732
2025-01-08 13:36:27,SMP16,Laboratory 207,2.901,1048.732
2025-01-08 13:36:40,SMP16,Laboratory 207,2.901,1048.732
2025-01-08 13:36:52,SMP16,Laboratory 207,2.901,1048.732
2025-01-08 13:37:04,SMP16,Laboratory 207,2.885,1048.78
2025-01-08 13:37:17,SMP16,Laboratory 207,2.885,1048.78
2025-01-08 13:37:29,SMP16,Laboratory 207,2.885,1048.78
