Timestamp,Label,Location Name,Power (W),Energy (Wh)
2025-01-22 13:04:41,SMP14,Laboratory 207,0,5.941
2025-01-22 13:04:53,SMP14,Laboratory 207,0,5.941
2025-01-22 13:05:14,SMP14,Laboratory 207,0,5.941
2025-01-22 13:05:26,SMP14,Laboratory 207,0,5.941
2025-01-22 13:05:38,SMP14,Laboratory 207,0,5.941
2025-01-22 13:05:51,SMP14,Laboratory 207,0,5.941
2025-01-22 13:06:03,SMP14,Laboratory 207,0,5.941
2025-01-22 13:06:15,SMP14,Laboratory 207,0,5.941
2025-01-22 13:06:28,SMP14,Laboratory 207,0,5.941
2025-01-22 13:06:40,SMP14,Laboratory 207,0,5.941
2025-01-22 13:06:52,SMP14,Laboratory 207,0,5.941
2025-01-22 13:07:06,SMP14,Laboratory 207,0,5.941
2025-01-22 13:07:18,SMP14,Laboratory 207,0,5.941
2025-01-22 13:07:31,SMP14,Laboratory 207,0,5.941
2025-01-22 13:07:43,SMP14,Laboratory 207,0,5.941
2025-01-22 13:07:55,SMP14,Laboratory 207,0,5.941
2025-01-22 13:08:07,SMP14,Laboratory 207,0,5.941
2025-01-22 13:08:19,SMP14,Laboratory 207,0,5.941
2025-01-22 13:08:32,SMP14,Laboratory 207,0,5.941
2025-01-22 13:08:44,SMP14,Laboratory 207,0,5.941
2025-01-22 13:08:56,SMP14,Laboratory 207,0,5.941
2025-01-22 13:09:08,SMP14,Laboratory 207,0,5.941
2025-01-22 13:09:21,SMP14,Laboratory 207,0,5.941
2025-01-22 13:09:33,SMP14,Laboratory 207,0,5.941
2025-01-22 13:09:45,SMP14,Laboratory 207,0,5.941
2025-01-22 13:09:58,SMP14,Laboratory 207,0,5.941
2025-01-22 13:10:12,SMP14,Laboratory 207,0,5.941
2025-01-22 13:10:24,SMP14,Laboratory 207,0,5.941
2025-01-22 13:10:37,SMP14,Laboratory 207,0,5.941
2025-01-22 13:10:49,SMP14,Laboratory 207,0,5.941
2025-01-22 13:11:01,SMP14,Laboratory 207,0,5.941
2025-01-22 13:11:13,SMP14,Laboratory 207,0,5.941
2025-01-22 13:11:25,SMP14,Laboratory 207,0,5.941
2025-01-22 13:11:37,SMP14,Laboratory 207,0,5.941
2025-01-22 13:11:50,SMP14,Laboratory 207,0,5.941
2025-01-22 13:12:02,SMP14,Laboratory 207,0,5.941
2025-01-22 13:12:14,SMP14,Laboratory 207,0,5.941
2025-01-22 13:12:26,SMP14,Laboratory 207,0,5.941
2025-01-22 13:12:38,SMP14,Laboratory 207,0,5.941
2025-01-22 13:12:50,SMP14,Laboratory 207,0,5.941
2025-01-22 13:13:03,SMP14,Laboratory 207,0,5.941
2025-01-22 13:13:15,SMP14,Laboratory 207,0,5.941
2025-01-22 13:13:27,SMP14,Laboratory 207,0,5.941
2025-01-22 13:13:39,SMP14,Laboratory 207,0,5.941
2025-01-22 13:13:51,SMP14,Laboratory 207,0,5.941
2025-01-22 13:14:04,SMP14,Laboratory 207,0,5.941
2025-01-22 13:14:16,SMP14,Laboratory 207,0,5.941
2025-01-22 13:14:28,SMP14,Laboratory 207,0,5.941
2025-01-22 13:14:40,SMP14,Laboratory 207,0,5.941
2025-01-22 13:14:52,SMP14,Laboratory 207,0,5.941
2025-01-22 13:15:04,SMP14,Laboratory 207,0,5.941
2025-01-22 13:15:16,SMP14,Laboratory 207,0,5.941
2025-01-22 13:15:29,SMP14,Laboratory 207,0,5.941
2025-01-22 13:15:41,SMP14,Laboratory 207,0,5.941
2025-01-22 13:15:53,SMP14,Laboratory 207,0,5.941
2025-01-22 13:16:05,SMP14,Laboratory 207,0,5.941
2025-01-22 13:16:17,SMP14,Laboratory 207,0,5.941
2025-01-22 13:16:30,SMP14,Laboratory 207,0,5.941
2025-01-22 13:16:42,SMP14,Laboratory 207,0,5.941
2025-01-22 13:16:54,SMP14,Laboratory 207,0,5.941
2025-01-22 13:17:06,SMP14,Laboratory 207,0,5.941
2025-01-22 13:17:18,SMP14,Laboratory 207,0,5.941
2025-01-22 13:17:30,SMP14,Laboratory 207,0,5.941
2025-01-22 13:17:43,SMP14,Laboratory 207,0,5.941
