Timestamp,Label,Location Name,Power (W),Energy (Wh)
2025-01-22 13:10:12,SMP24,Laboratory 207,40.701,11046.33
2025-01-22 13:10:24,SMP24,Laboratory 207,40.701,11046.33
2025-01-22 13:10:36,SMP24,Laboratory 207,40.701,11046.33
2025-01-22 13:10:49,SMP24,Laboratory 207,40.701,11046.33
2025-01-22 13:11:01,SMP24,Laboratory 207,40.701,11046.33
2025-01-22 13:11:13,SMP24,Laboratory 207,51.595,11046.967
2025-01-22 13:11:25,SMP24,Laboratory 207,51.595,11046.967
2025-01-22 13:11:37,SMP24,Laboratory 207,51.595,11046.967
2025-01-22 13:11:50,SMP24,Laboratory 207,51.595,11046.967
2025-01-22 13:12:02,SMP24,Laboratory 207,35.808,11047.616
2025-01-22 13:12:14,SMP24,Laboratory 207,35.808,11047.616
2025-01-22 13:12:26,SMP24,Laboratory 207,35.808,11047.616
2025-01-22 13:12:38,SMP24,Laboratory 207,35.808,11047.616
2025-01-22 13:12:51,SMP24,Laboratory 207,35.808,11047.616
2025-01-22 13:13:03,SMP24,Laboratory 207,33.845,11048.274
2025-01-22 13:13:15,SMP24,Laboratory 207,33.845,11048.274
2025-01-22 13:13:27,SMP24,Laboratory 207,33.845,11048.274
2025-01-22 13:13:39,SMP24,Laboratory 207,33.845,11048.274
2025-01-22 13:13:51,SMP24,Laboratory 207,33.845,11048.274
2025-01-22 13:14:04,SMP24,Laboratory 207,47.283,11048.921
2025-01-22 13:14:16,SMP24,Laboratory 207,47.283,11048.921
2025-01-22 13:14:28,SMP24,Laboratory 207,47.283,11048.921
2025-01-22 13:14:40,SMP24,Laboratory 207,47.283,11048.921
2025-01-22 13:14:52,SMP24,Laboratory 207,47.283,11048.921
2025-01-22 13:15:04,SMP24,Laboratory 207,32.411,11049.579
2025-01-22 13:15:17,SMP24,Laboratory 207,32.411,11049.579
2025-01-22 13:15:29,SMP24,Laboratory 207,32.411,11049.579
2025-01-22 13:15:41,SMP24,Laboratory 207,32.411,11049.579
2025-01-22 13:15:53,SMP24,Laboratory 207,32.411,11049.579
2025-01-22 13:16:05,SMP24,Laboratory 207,32.056,11050.219
2025-01-22 13:16:17,SMP24,Laboratory 207,32.056,11050.219
2025-01-22 13:16:30,SMP24,Laboratory 207,32.056,11050.219
2025-01-22 13:16:42,SMP24,Laboratory 207,32.056,11050.219
2025-01-22 13:16:54,SMP24,Laboratory 207,32.056,11050.219
2025-01-22 13:17:06,SMP24,Laboratory 207,37.514,11050.86
2025-01-22 13:17:18,SMP24,Laboratory 207,37.514,11050.86
2025-01-22 13:17:30,SMP24,Laboratory 207,37.514,11050.86
2025-01-22 13:17:43,SMP24,Laboratory 207,37.514,11050.86
2025-01-22 13:17:55,SMP24,Laboratory 207,37.514,11050.86
2025-01-22 13:18:07,SMP24,Laboratory 207,51.318,11051.521
2025-01-22 13:18:19,SMP24,Laboratory 207,51.318,11051.521
2025-01-22 13:18:31,SMP24,Laboratory 207,51.318,11051.521
2025-01-22 13:18:43,SMP24,Laboratory 207,51.318,11051.521
2025-01-22 13:18:56,SMP24,Laboratory 207,51.318,11051.521
2025-01-22 13:19:08,SMP24,Laboratory 207,52.008,11052.155
2025-01-22 13:19:20,SMP24,Laboratory 207,52.008,11052.155
2025-01-22 13:19:32,SMP24,Laboratory 207,52.008,11052.155
2025-01-22 13:19:44,SMP24,Laboratory 207,52.008,11052.155
2025-01-22 13:19:56,SMP24,Laboratory 207,52.008,11052.155
2025-01-22 13:20:11,SMP24,Laboratory 207,33.638,11052.791
2025-01-22 13:20:23,SMP24,Laboratory 207,33.638,11052.791
2025-01-22 13:20:35,SMP24,Laboratory 207,33.638,11052.791
2025-01-22 13:20:47,SMP24,Laboratory 207,33.638,11052.791
2025-01-22 13:20:59,SMP24,Laboratory 207,33.638,11052.791
2025-01-22 13:21:11,SMP24,Laboratory 207,32.469,11053.387
2025-01-22 13:21:23,SMP24,Laboratory 207,32.469,11053.387
2025-01-22 13:21:36,SMP24,Laboratory 207,32.469,11053.387
2025-01-22 13:21:48,SMP24,Laboratory 207,32.469,11053.387
2025-01-22 13:22:00,SMP24,Laboratory 207,32.469,11053.387
2025-01-22 13:22:12,SMP24,Laboratory 207,27.879,11053.997
2025-01-22 13:22:24,SMP24,Laboratory 207,27.879,11053.997
2025-01-22 13:22:37,SMP24,Laboratory 207,27.879,11053.997
2025-01-22 13:22:49,SMP24,Laboratory 207,27.879,11053.997
2025-01-22 13:23:01,SMP24,Laboratory 207,27.879,11053.997
2025-01-22 13:23:13,SMP24,Laboratory 207,30.839,11054.612
2025-01-22 13:23:25,SMP24,Laboratory 207,30.839,11054.612
2025-01-22 13:23:37,SMP24,Laboratory 207,30.839,11054.612
2025-01-22 13:23:50,SMP24,Laboratory 207,30.839,11054.612
2025-01-22 13:24:02,SMP24,Laboratory 207,31.034,11055.203
2025-01-22 13:24:14,SMP24,Laboratory 207,31.034,11055.203
2025-01-22 13:24:26,SMP24,Laboratory 207,31.034,11055.203
2025-01-22 13:24:38,SMP24,Laboratory 207,31.034,11055.203
2025-01-22 13:24:50,SMP24,Laboratory 207,31.034,11055.203
2025-01-22 13:25:03,SMP24,Laboratory 207,38.294,11056
2025-01-22 13:25:15,SMP24,Laboratory 207,38.294,11056
2025-01-22 13:25:27,SMP24,Laboratory 207,38.294,11056
2025-01-22 13:25:39,SMP24,Laboratory 207,38.294,11056
2025-01-22 13:25:51,SMP24,Laboratory 207,38.294,11056
2025-01-22 13:26:03,SMP24,Laboratory 207,53.891,11056.64
2025-01-22 13:26:15,SMP24,Laboratory 207,53.891,11056.64
2025-01-22 13:26:28,SMP24,Laboratory 207,53.891,11056.64
2025-01-22 13:26:40,SMP24,Laboratory 207,53.891,11056.64
2025-01-22 13:26:52,SMP24,Laboratory 207,53.891,11056.64
2025-01-22 13:27:04,SMP24,Laboratory 207,35.276,11057.28
2025-01-22 13:27:16,SMP24,Laboratory 207,35.276,11057.28
2025-01-22 13:27:28,SMP24,Laboratory 207,35.276,11057.28
2025-01-22 13:27:40,SMP24,Laboratory 207,35.276,11057.28
