Timestamp,Label,Location Name,Power (W),Energy (Wh)
2025-01-23 14:37:42,SMP05,Laboratory 207,51.517,44222.589
2025-01-23 14:37:54,SMP05,Laboratory 207,51.517,44222.589
2025-01-23 14:38:06,SMP05,Laboratory 207,51.964,44223.433
2025-01-23 14:38:18,SMP05,Laboratory 207,51.964,44223.433
2025-01-23 14:38:30,SMP05,Laboratory 207,51.964,44223.433
2025-01-23 14:38:42,SMP05,Laboratory 207,51.964,44223.433
2025-01-23 14:38:55,SMP05,Laboratory 207,51.964,44223.433
2025-01-23 14:39:07,SMP05,Laboratory 207,49.441,44224.279
2025-01-23 14:39:19,SMP05,Laboratory 207,49.441,44224.279
2025-01-23 14:39:31,SMP05,Laboratory 207,49.441,44224.279
2025-01-23 14:39:43,SMP05,Laboratory 207,49.441,44224.279
2025-01-23 14:39:55,SMP05,Laboratory 207,49.441,44224.279
2025-01-23 14:40:09,SMP05,Laboratory 207,44.186,44225.018
2025-01-23 14:40:22,SMP05,Laboratory 207,44.186,44225.018
2025-01-23 14:40:34,SMP05,Laboratory 207,44.186,44225.018
2025-01-23 14:40:46,SMP05,Laboratory 207,44.186,44225.018
2025-01-23 14:40:58,SMP05,Laboratory 207,53.578,44225.794
2025-01-23 14:41:10,SMP05,Laboratory 207,53.578,44225.794
2025-01-23 14:41:22,SMP05,Laboratory 207,53.578,44225.794
2025-01-23 14:41:34,SMP05,Laboratory 207,53.578,44225.794
2025-01-23 14:41:46,SMP05,Laboratory 207,53.578,44225.794
2025-01-23 14:41:59,SMP05,Laboratory 207,50.352,44226.639
2025-01-23 14:42:11,SMP05,Laboratory 207,50.352,44226.639
2025-01-23 14:42:23,SMP05,Laboratory 207,50.352,44226.639
2025-01-23 14:42:35,SMP05,Laboratory 207,50.352,44226.639
2025-01-23 14:42:48,SMP05,Laboratory 207,50.352,44226.639
2025-01-23 14:43:00,SMP05,Laboratory 207,29.412,44227.415
2025-01-23 14:43:12,SMP05,Laboratory 207,29.412,44227.415
2025-01-23 14:43:24,SMP05,Laboratory 207,29.412,44227.415
2025-01-23 14:43:37,SMP05,Laboratory 207,29.412,44227.415
2025-01-23 14:43:49,SMP05,Laboratory 207,29.412,44227.415
2025-01-23 14:44:01,SMP05,Laboratory 207,33.013,44227.939
2025-01-23 14:44:13,SMP05,Laboratory 207,33.013,44227.939
2025-01-23 14:44:26,SMP05,Laboratory 207,33.013,44227.939
2025-01-23 14:44:38,SMP05,Laboratory 207,33.013,44227.939
2025-01-23 14:44:50,SMP05,Laboratory 207,33.013,44227.939
