Timestamp,Label,Location Name,Power (W),Energy (Wh)
2025-01-23 14:37:42,SMP18,Laboratory 207,26.242,1754.026
2025-01-23 14:37:54,SMP18,Laboratory 207,26.242,1754.026
2025-01-23 14:38:06,SMP18,Laboratory 207,26.242,1754.026
2025-01-23 14:38:18,SMP18,Laboratory 207,26.242,1754.026
2025-01-23 14:38:30,SMP18,Laboratory 207,26.242,1754.026
2025-01-23 14:38:42,SMP18,Laboratory 207,25.044,1754.51
2025-01-23 14:38:55,SMP18,Laboratory 207,25.044,1754.51
2025-01-23 14:39:07,SMP18,Laboratory 207,25.044,1754.51
2025-01-23 14:39:19,SMP18,Laboratory 207,25.044,1754.51
2025-01-23 14:39:31,SMP18,Laboratory 207,25.044,1754.51
2025-01-23 14:39:43,SMP18,Laboratory 207,25.543,1754.99
2025-01-23 14:39:55,SMP18,Laboratory 207,25.543,1754.99
2025-01-23 14:40:09,SMP18,Laboratory 207,25.543,1754.99
2025-01-23 14:40:21,SMP18,Laboratory 207,25.543,1754.99
2025-01-23 14:40:34,SMP18,Laboratory 207,25.543,1754.99
2025-01-23 14:40:46,SMP18,Laboratory 207,23.973,1755.455
2025-01-23 14:40:58,SMP18,Laboratory 207,23.973,1755.455
2025-01-23 14:41:10,SMP18,Laboratory 207,23.973,1755.455
2025-01-23 14:41:22,SMP18,Laboratory 207,23.973,1755.455
2025-01-23 14:41:34,SMP18,Laboratory 207,23.973,1755.455
2025-01-23 14:41:46,SMP18,Laboratory 207,24.458,1755.927
2025-01-23 14:41:59,SMP18,Laboratory 207,24.458,1755.927
2025-01-23 14:42:11,SMP18,Laboratory 207,24.458,1755.927
2025-01-23 14:42:23,SMP18,Laboratory 207,24.458,1755.927
2025-01-23 14:42:35,SMP18,Laboratory 207,24.458,1755.927
2025-01-23 14:42:47,SMP18,Laboratory 207,34.769,1756.403
2025-01-23 14:43:00,SMP18,Laboratory 207,34.769,1756.403
2025-01-23 14:43:12,SMP18,Laboratory 207,34.769,1756.403
2025-01-23 14:43:24,SMP18,Laboratory 207,34.769,1756.403
2025-01-23 14:43:36,SMP18,Laboratory 207,34.769,1756.403
2025-01-23 14:43:49,SMP18,Laboratory 207,40.262,1756.869
2025-01-23 14:44:01,SMP18,Laboratory 207,40.262,1756.869
2025-01-23 14:44:13,SMP18,Laboratory 207,40.262,1756.869
2025-01-23 14:44:25,SMP18,Laboratory 207,40.262,1756.869
2025-01-23 14:44:38,SMP18,Laboratory 207,40.262,1756.869
