Timestamp,Label,Location Name,Power (W),Energy (Wh)
2025-01-23 14:37:42,SMP23,Laboratory 207,0.281,125.862
2025-01-23 14:37:54,SMP23,Laboratory 207,0.281,125.862
2025-01-23 14:38:06,SMP23,Laboratory 207,0.281,125.862
2025-01-23 14:38:18,SMP23,Laboratory 207,0.281,125.862
2025-01-23 14:38:30,SMP23,Laboratory 207,0.285,125.867
2025-01-23 14:38:42,SMP23,Laboratory 207,0.285,125.867
2025-01-23 14:38:54,SMP23,Laboratory 207,0.285,125.867
2025-01-23 14:39:07,SMP23,Laboratory 207,0.285,125.867
2025-01-23 14:39:19,SMP23,Laboratory 207,0.285,125.867
2025-01-23 14:39:31,SMP23,Laboratory 207,0.247,125.871
2025-01-23 14:39:43,SMP23,Laboratory 207,0.247,125.871
2025-01-23 14:39:55,SMP23,Laboratory 207,0.247,125.871
2025-01-23 14:40:09,SMP23,Laboratory 207,0.247,125.871
2025-01-23 14:40:21,SMP23,Laboratory 207,0.247,125.871
2025-01-23 14:40:34,SMP23,Laboratory 207,0.281,125.876
2025-01-23 14:40:46,SMP23,Laboratory 207,0.281,125.876
2025-01-23 14:40:58,SMP23,Laboratory 207,0.281,125.876
2025-01-23 14:41:10,SMP23,Laboratory 207,0.281,125.876
2025-01-23 14:41:22,SMP23,Laboratory 207,0.281,125.876
2025-01-23 14:41:34,SMP23,Laboratory 207,0.31,125.881
2025-01-23 14:41:46,SMP23,Laboratory 207,0.31,125.881
2025-01-23 14:41:59,SMP23,Laboratory 207,0.31,125.881
2025-01-23 14:42:11,SMP23,Laboratory 207,0.31,125.881
2025-01-23 14:42:23,SMP23,Laboratory 207,0.291,125.886
2025-01-23 14:42:35,SMP23,Laboratory 207,0.291,125.886
2025-01-23 14:42:48,SMP23,Laboratory 207,0.291,125.886
2025-01-23 14:43:00,SMP23,Laboratory 207,0.291,125.886
2025-01-23 14:43:12,SMP23,Laboratory 207,0.291,125.886
2025-01-23 14:43:24,SMP23,Laboratory 207,0.306,125.891
2025-01-23 14:43:37,SMP23,Laboratory 207,0.306,125.891
2025-01-23 14:43:49,SMP23,Laboratory 207,0.306,125.891
2025-01-23 14:44:01,SMP23,Laboratory 207,0.306,125.891
2025-01-23 14:44:13,SMP23,Laboratory 207,0.306,125.891
2025-01-23 14:44:26,SMP23,Laboratory 207,0.331,125.896
2025-01-23 14:44:38,SMP23,Laboratory 207,0.331,125.896
2025-01-23 14:44:51,SMP23,Laboratory 207,0.331,125.896
2025-01-23 14:45:03,SMP23,Laboratory 207,0.331,125.896
2025-01-23 14:45:15,SMP23,Laboratory 207,0.331,125.896
