Timestamp,Label,Location Name,Power (W),Energy (Wh)
2025-02-14 00:00:24,SMP21,Laboratory 207,0.374,389.725
2025-02-14 00:00:36,SMP21,Laboratory 207,0.374,389.725
2025-02-14 00:00:48,SMP21,Laboratory 207,0.374,389.725
2025-02-14 00:01:01,SMP21,Laboratory 207,0.374,389.725
2025-02-14 00:01:13,SMP21,Laboratory 207,0.388,389.731
2025-02-14 00:01:25,SMP21,Laboratory 207,0.388,389.731
2025-02-14 00:01:37,SMP21,Laboratory 207,0.388,389.731
2025-02-14 00:01:49,SMP21,Laboratory 207,0.388,389.731
2025-02-14 00:02:01,SMP21,Laboratory 207,0.388,389.731
2025-02-14 00:02:13,SMP21,Laboratory 207,0.424,389.737
2025-02-14 00:02:25,SMP21,Laboratory 207,0.424,389.737
2025-02-14 00:02:38,SMP21,Laboratory 207,0.424,389.737
2025-02-14 00:02:50,SMP21,Laboratory 207,0.424,389.737
2025-02-14 00:03:02,SMP21,Laboratory 207,0.424,389.737
2025-02-14 00:03:14,SMP21,Laboratory 207,0.382,389.744
2025-02-14 00:03:26,SMP21,Laboratory 207,0.382,389.744
2025-02-14 00:03:38,SMP21,Laboratory 207,0.382,389.744
2025-02-14 00:03:50,SMP21,Laboratory 207,0.382,389.744
2025-02-14 00:04:02,SMP21,Laboratory 207,0.382,389.744
2025-02-14 00:04:15,SMP21,Laboratory 207,0.402,389.75
2025-02-14 00:04:27,SMP21,Laboratory 207,0.402,389.75
2025-02-14 00:04:39,SMP21,Laboratory 207,0.402,389.75
2025-02-14 00:04:51,SMP21,Laboratory 207,0.402,389.75
2025-02-14 00:05:03,SMP21,Laboratory 207,0.37,389.757
2025-02-14 00:05:15,SMP21,Laboratory 207,0.37,389.757
2025-02-14 00:05:27,SMP21,Laboratory 207,0.37,389.757
2025-02-14 00:05:40,SMP21,Laboratory 207,0.37,389.757
2025-02-14 00:05:52,SMP21,Laboratory 207,0.37,389.757
2025-02-14 00:06:04,SMP21,Laboratory 207,0.35,389.763
2025-02-14 00:06:16,SMP21,Laboratory 207,0.35,389.763
2025-02-14 00:06:28,SMP21,Laboratory 207,0.35,389.763
2025-02-14 00:06:40,SMP21,Laboratory 207,0.35,389.763
2025-02-14 00:06:52,SMP21,Laboratory 207,0.35,389.763
2025-02-14 00:07:05,SMP21,Laboratory 207,0.372,389.769
2025-02-14 00:07:17,SMP21,Laboratory 207,0.372,389.769
2025-02-14 00:07:29,SMP21,Laboratory 207,0.372,389.769
2025-02-14 00:07:41,SMP21,Laboratory 207,0.372,389.769
2025-02-14 00:07:53,SMP21,Laboratory 207,0.372,389.769
2025-02-14 00:08:05,SMP21,Laboratory 207,0.385,389.776
2025-02-14 00:08:17,SMP21,Laboratory 207,0.385,389.776
2025-02-14 00:08:30,SMP21,Laboratory 207,0.385,389.776
2025-02-14 00:08:42,SMP21,Laboratory 207,0.385,389.776
2025-02-14 00:08:54,SMP21,Laboratory 207,0.385,389.776
2025-02-14 00:09:06,SMP21,Laboratory 207,0.383,389.782
2025-02-14 00:09:18,SMP21,Laboratory 207,0.383,389.782
2025-02-14 00:09:30,SMP21,Laboratory 207,0.383,389.782
2025-02-14 00:09:42,SMP21,Laboratory 207,0.383,389.782
2025-02-14 00:09:55,SMP21,Laboratory 207,0.383,389.782
2025-02-14 00:10:08,SMP21,Laboratory 207,0.367,389.789
2025-02-14 00:10:20,SMP21,Laboratory 207,0.367,389.789
2025-02-14 00:10:32,SMP21,Laboratory 207,0.367,389.789
2025-02-14 00:10:44,SMP21,Laboratory 207,0.367,389.789
2025-02-14 00:10:57,SMP21,Laboratory 207,0.367,389.789
2025-02-14 00:11:09,SMP21,Laboratory 207,0.402,389.795
2025-02-14 00:11:21,SMP21,Laboratory 207,0.402,389.795
2025-02-14 00:11:33,SMP21,Laboratory 207,0.402,389.795
2025-02-14 00:11:45,SMP21,Laboratory 207,0.402,389.795
2025-02-14 00:11:57,SMP21,Laboratory 207,0.402,389.795
2025-02-14 00:12:09,SMP21,Laboratory 207,0.391,389.801
2025-02-14 00:12:21,SMP21,Laboratory 207,0.391,389.801
2025-02-14 00:12:33,SMP21,Laboratory 207,0.391,389.801
2025-02-14 00:12:45,SMP21,Laboratory 207,0.391,389.801
2025-02-14 00:12:57,SMP21,Laboratory 207,0.391,389.801
2025-02-14 00:13:10,SMP21,Laboratory 207,0.349,389.808
2025-02-14 00:13:22,SMP21,Laboratory 207,0.349,389.808
2025-02-14 00:13:34,SMP21,Laboratory 207,0.349,389.808
