Timestamp,Label,Location Name,Power (W),Energy (Wh)
2025-02-15 00:00:24,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:00:36,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:00:48,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:01:01,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:01:13,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:01:25,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:01:37,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:01:49,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:02:01,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:02:13,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:02:25,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:02:37,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:02:49,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:03:01,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:03:14,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:03:26,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:03:38,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:03:50,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:04:02,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:04:14,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:04:26,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:04:38,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:04:50,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:05:02,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:05:14,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:05:26,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:05:38,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:05:50,SMP06,Laboratory 205,1.67,45.902
2025-02-15 00:06:02,SMP06,Laboratory 205,36.43,45.904
2025-02-15 00:06:15,SMP06,Laboratory 205,36.43,45.904
2025-02-15 00:06:27,SMP06,Laboratory 205,36.43,45.904
2025-02-15 00:06:39,SMP06,Laboratory 205,36.43,45.904
2025-02-15 00:06:51,SMP06,Laboratory 205,36.43,45.904
2025-02-15 00:07:03,SMP06,Laboratory 205,36.43,45.904
2025-02-15 00:07:15,SMP06,Laboratory 205,36.43,45.904
2025-02-15 00:07:27,SMP06,Laboratory 205,36.43,45.904
2025-02-15 00:07:39,SMP06,Laboratory 205,36.43,45.904
2025-02-15 00:07:51,SMP06,Laboratory 205,36.43,45.904
2025-02-15 00:08:03,SMP06,Laboratory 205,36.43,45.904
2025-02-15 00:08:15,SMP06,Laboratory 205,36.43,45.904
2025-02-15 00:08:27,SMP06,Laboratory 205,36.43,45.904
2025-02-15 00:08:39,SMP06,Laboratory 205,36.43,45.904
2025-02-15 00:08:52,SMP06,Laboratory 205,36.43,45.904
2025-02-15 00:09:04,SMP06,Laboratory 205,36.43,45.904
2025-02-15 00:09:16,SMP06,Laboratory 205,36.43,45.904
2025-02-15 00:09:28,SMP06,Laboratory 205,36.43,45.904
