Timestamp,Label,Location Name,Power (W),Energy (Wh),Appliance,user1_activity,user2_activity,Total Power (W),Unix Time,state
2025-01-08 14:00:07,SMP01,Laboratory 207,28.149,24788.787,Refrigerator(207),abs,abs,28.149,1736344807,S0
2025-01-08 14:00:19,SMP01,Laboratory 207,28.149,24788.787,Refrigerator(207),abs,abs,28.149,1736344819,S0
2025-01-08 14:00:31,SMP01,Laboratory 207,28.149,24788.787,Refrigerator(207),abs,abs,28.149,1736344831,S0
2025-01-08 14:00:43,SMP01,Laboratory 207,28.479,24789.254,Refrigerator(207),abs,abs,28.479,1736344843,S0
2025-01-08 14:00:55,SMP01,Laboratory 207,28.479,24789.254,Refrigerator(207),abs,abs,28.479,1736344855,S0
2025-01-08 14:01:08,SMP01,Laboratory 207,28.479,24789.254,Refrigerator(207),abs,abs,28.479,1736344868,S0
2025-01-08 14:01:20,SMP01,Laboratory 207,28.479,24789.254,Refrigerator(207),abs,abs,28.479,1736344880,S0
2025-01-08 14:01:32,SMP01,Laboratory 207,28.479,24789.254,Refrigerator(207),abs,abs,28.479,1736344892,S0
2025-01-08 14:01:44,SMP01,Laboratory 207,28.489,24789.726,Refrigerator(207),abs,abs,28.489,1736344904,S0
2025-01-08 14:01:57,SMP01,Laboratory 207,28.489,24789.726,Refrigerator(207),abs,abs,28.489,1736344917,S0
2025-01-08 14:02:09,SMP01,Laboratory 207,28.489,24789.726,Refrigerator(207),abs,abs,28.489,1736344929,S0
2025-01-08 14:02:21,SMP01,Laboratory 207,28.489,24789.726,Refrigerator(207),abs,abs,28.489,1736344941,S0
2025-01-08 14:02:33,SMP01,Laboratory 207,28.489,24789.726,Refrigerator(207),abs,abs,28.489,1736344953,S0
2025-01-08 14:02:45,SMP01,Laboratory 207,28.362,24790.196,Refrigerator(207),abs,abs,28.362,1736344965,S0
2025-01-08 14:02:57,SMP01,Laboratory 207,28.362,24790.196,Refrigerator(207),abs,abs,28.362,1736344977,S0
2025-01-08 14:03:10,SMP01,Laboratory 207,28.362,24790.196,Refrigerator(207),abs,abs,28.362,1736344990,S0
2025-01-08 14:03:22,SMP01,Laboratory 207,28.362,24790.196,Refrigerator(207),abs,abs,28.362,1736345002,S0
2025-01-08 14:03:34,SMP01,Laboratory 207,28.362,24790.196,Refrigerator(207),abs,abs,28.362,1736345014,S0
2025-01-08 14:03:46,SMP01,Laboratory 207,28.257,24790.668,Refrigerator(207),abs,abs,28.257,1736345026,S0
2025-01-08 14:03:58,SMP01,Laboratory 207,28.257,24790.668,Refrigerator(207),abs,abs,28.257,1736345038,S0
2025-01-08 14:04:10,SMP01,Laboratory 207,28.257,24790.668,Refrigerator(207),abs,abs,28.257,1736345050,S0
2025-01-08 14:04:22,SMP01,Laboratory 207,28.257,24790.668,Refrigerator(207),abs,abs,28.257,1736345062,S0
2025-01-08 14:04:34,SMP01,Laboratory 207,28.257,24790.668,Refrigerator(207),abs,abs,28.257,1736345074,S0
2025-01-08 14:04:47,SMP01,Laboratory 207,28.007,24791.14,Refrigerator(207),abs,abs,28.007,1736345087,S0
2025-01-08 14:04:59,SMP01,Laboratory 207,28.007,24791.14,Refrigerator(207),abs,abs,28.007,1736345099,S0
2025-01-08 14:05:11,SMP01,Laboratory 207,28.007,24791.14,Refrigerator(207),wpc,abs,28.007,1736345111,S4
2025-01-08 14:05:23,SMP01,Laboratory 207,28.007,24791.14,Refrigerator(207),wpc,abs,28.007,1736345123,S4
2025-01-08 14:05:35,SMP01,Laboratory 207,28.007,24791.14,Refrigerator(207),wpc,abs,28.007,1736345135,S4
2025-01-08 14:05:47,SMP01,Laboratory 207,28.079,24791.611,Refrigerator(207),wpc,abs,28.079,1736345147,S4
2025-01-08 14:06:00,SMP01,Laboratory 207,28.079,24791.611,Refrigerator(207),wpc,abs,28.079,1736345160,S4
2025-01-08 14:06:12,SMP01,Laboratory 207,28.079,24791.611,Refrigerator(207),wpc,abs,28.079,1736345172,S4
2025-01-08 14:06:24,SMP01,Laboratory 207,28.079,24791.611,Refrigerator(207),wpc,abs,28.079,1736345184,S4
2025-01-08 14:06:36,SMP01,Laboratory 207,28.079,24791.611,Refrigerator(207),wpc,abs,28.079,1736345196,S4
2025-01-08 14:06:48,SMP01,Laboratory 207,27.541,24792.076,Refrigerator(207),wpc,abs,27.541,1736345208,S4
2025-01-08 14:07:00,SMP01,Laboratory 207,27.541,24792.076,Refrigerator(207),wpc,abs,27.541,1736345220,S4
2025-01-08 14:07:12,SMP01,Laboratory 207,27.541,24792.076,Refrigerator(207),wpc,abs,27.541,1736345232,S4
2025-01-08 14:07:24,SMP01,Laboratory 207,27.541,24792.076,Refrigerator(207),wpc,abs,27.541,1736345244,S4
2025-01-08 14:07:36,SMP01,Laboratory 207,27.541,24792.076,Refrigerator(207),wpc,abs,27.541,1736345256,S4
2025-01-08 14:07:49,SMP01,Laboratory 207,27.124,24792.538,Refrigerator(207),wpc,abs,27.124,1736345269,S4
2025-01-08 14:08:01,SMP01,Laboratory 207,27.124,24792.538,Refrigerator(207),wpc,abs,27.124,1736345281,S4
2025-01-08 14:08:13,SMP01,Laboratory 207,27.124,24792.538,Refrigerator(207),wpc,abs,27.124,1736345293,S4
2025-01-08 14:08:25,SMP01,Laboratory 207,27.124,24792.538,Refrigerator(207),wpc,abs,27.124,1736345305,S4
2025-01-08 14:08:37,SMP01,Laboratory 207,27.124,24792.538,Refrigerator(207),wpc,abs,27.124,1736345317,S4
2025-01-08 14:08:49,SMP01,Laboratory 207,27.372,24792.998,Refrigerator(207),wpc,abs,27.372,1736345329,S4
2025-01-08 14:09:01,SMP01,Laboratory 207,27.372,24792.998,Refrigerator(207),wpc,abs,27.372,1736345341,S4
2025-01-08 14:09:13,SMP01,Laboratory 207,27.372,24792.998,Refrigerator(207),wpc,abs,27.372,1736345353,S4
2025-01-08 14:09:25,SMP01,Laboratory 207,27.372,24792.998,Refrigerator(207),wpc,abs,27.372,1736345365,S4
2025-01-08 14:09:38,SMP01,Laboratory 207,27.372,24792.998,Refrigerator(207),wpc,abs,27.372,1736345378,S4
2025-01-08 14:09:50,SMP01,Laboratory 207,27.789,24793.459,Refrigerator(207),wpc,abs,27.789,1736345390,S4
2025-01-08 14:10:03,SMP01,Laboratory 207,27.789,24793.459,Refrigerator(207),wpc,wpc,27.789,1736345403,S5
2025-01-08 14:10:15,SMP01,Laboratory 207,27.789,24793.459,Refrigerator(207),wpc,wpc,27.789,1736345415,S5
2025-01-08 14:10:27,SMP01,Laboratory 207,27.789,24793.459,Refrigerator(207),wpc,wpc,27.789,1736345427,S5
2025-01-08 14:10:39,SMP01,Laboratory 207,27.719,24793.922,Refrigerator(207),wpc,wpc,27.719,1736345439,S5
2025-01-08 14:10:51,SMP01,Laboratory 207,27.719,24793.922,Refrigerator(207),wpc,wpc,27.719,1736345451,S5
2025-01-08 14:11:04,SMP01,Laboratory 207,27.719,24793.922,Refrigerator(207),wpc,wpc,27.719,1736345464,S5
2025-01-08 14:11:16,SMP01,Laboratory 207,27.719,24793.922,Refrigerator(207),wpc,wpc,27.719,1736345476,S5
2025-01-08 14:11:28,SMP01,Laboratory 207,27.719,24793.922,Refrigerator(207),wpc,wpc,27.719,1736345488,S5
2025-01-08 14:11:40,SMP01,Laboratory 207,27.829,24794.387,Refrigerator(207),wpc,wpc,27.829,1736345500,S5
2025-01-08 14:11:52,SMP01,Laboratory 207,27.829,24794.387,Refrigerator(207),wpc,wpc,27.829,1736345512,S5
2025-01-08 14:12:04,SMP01,Laboratory 207,27.829,24794.387,Refrigerator(207),wpc,wpc,27.829,1736345524,S5
2025-01-08 14:12:17,SMP01,Laboratory 207,27.829,24794.387,Refrigerator(207),wpc,wpc,27.829,1736345537,S5
2025-01-08 14:12:29,SMP01,Laboratory 207,27.829,24794.387,Refrigerator(207),wpc,wpc,27.829,1736345549,S5
2025-01-08 14:12:41,SMP01,Laboratory 207,28.24,24794.851,Refrigerator(207),wpc,wpc,28.24,1736345561,S5
2025-01-08 14:12:53,SMP01,Laboratory 207,28.24,24794.851,Refrigerator(207),wpc,wpc,28.24,1736345573,S5
2025-01-08 14:13:05,SMP01,Laboratory 207,28.24,24794.851,Refrigerator(207),wpc,wpc,28.24,1736345585,S5
