Timestamp,Label,Location Name,Power (W),Energy (Wh),Appliance,Activity
2024-11-28 13:45:17,SMP01,Laboratory 207,31.258,6151.003,Refrigerator(207),Not used
2024-11-28 13:45:29,SMP01,Laboratory 207,31.258,6151.003,Refrigerator(207),Not used
2024-11-28 13:45:41,SMP01,Laboratory 207,31.258,6151.003,Refrigerator(207),Not used
2024-11-28 13:45:53,SMP01,Laboratory 207,30.866,6151.521,Refrigerator(207),Not used
2024-11-28 13:55:22,SMP01,Laboratory 207,29.868,6156.029,Refrigerator(207),Not used
2024-11-28 13:55:34,SMP01,Laboratory 207,29.868,6156.029,Refrigerator(207),Not used
2024-11-28 13:56:16,SMP01,Laboratory 207,30.024,6156.529,Refrigerator(207),Not used
2024-11-28 13:56:28,SMP01,Laboratory 207,30.024,6156.529,Refrigerator(207),Not used
2024-11-28 13:56:41,SMP01,Laboratory 207,30.024,6156.529,Refrigerator(207),Not used
2024-11-28 13:56:53,SMP01,Laboratory 207,2.338,6157.001,Refrigerator(207),Not used
2024-11-28 13:57:05,SMP01,Laboratory 207,2.338,6157.001,Refrigerator(207),Not used
2024-11-28 13:57:17,SMP01,Laboratory 207,2.338,6157.001,Refrigerator(207),Not used
2024-11-28 13:57:29,SMP01,Laboratory 207,2.338,6157.001,Refrigerator(207),Not used
2024-11-28 13:57:41,SMP01,Laboratory 207,2.338,6157.001,Refrigerator(207),Not used
2024-11-28 13:57:53,SMP01,Laboratory 207,1.19,6157.027,Refrigerator(207),Not used
2024-11-28 13:58:05,SMP01,Laboratory 207,1.19,6157.027,Refrigerator(207),Not used
2024-11-28 13:58:17,SMP01,Laboratory 207,1.19,6157.027,Refrigerator(207),Not used
2024-11-28 13:58:29,SMP01,Laboratory 207,1.19,6157.027,Refrigerator(207),Not used
2024-11-28 13:58:42,SMP01,Laboratory 207,1.19,6157.027,Refrigerator(207),Not used
2024-11-28 13:58:54,SMP01,Laboratory 207,0.691,6157.046,Refrigerator(207),Not used
2024-11-28 13:59:06,SMP01,Laboratory 207,0.691,6157.046,Refrigerator(207),Not used
2024-11-28 13:59:18,SMP01,Laboratory 207,0.691,6157.046,Refrigerator(207),Not used
2024-11-28 13:59:30,SMP01,Laboratory 207,0.691,6157.046,Refrigerator(207),Not used
2024-11-28 13:59:42,SMP01,Laboratory 207,0.691,6157.046,Refrigerator(207),Not used
2024-11-28 13:59:54,SMP01,Laboratory 207,0.674,6157.057,Refrigerator(207),Not used
2024-11-28 14:00:07,SMP01,Laboratory 207,0.674,6157.057,Refrigerator(207),Not used
2024-11-28 14:00:20,SMP01,Laboratory 207,0.674,6157.057,Refrigerator(207),Not used
2024-11-28 14:00:32,SMP01,Laboratory 207,0.674,6157.057,Refrigerator(207),Not used
2024-11-28 14:00:44,SMP01,Laboratory 207,0.674,6157.057,Refrigerator(207),Not used
2024-11-28 14:00:56,SMP01,Laboratory 207,0.7,6157.069,Refrigerator(207),Not used
2024-11-28 14:01:08,SMP01,Laboratory 207,0.7,6157.069,Refrigerator(207),Not used
2024-11-28 14:01:20,SMP01,Laboratory 207,0.7,6157.069,Refrigerator(207),Not used
2024-11-28 14:01:32,SMP01,Laboratory 207,0.7,6157.069,Refrigerator(207),Not used
2024-11-28 14:01:44,SMP01,Laboratory 207,0.7,6157.069,Refrigerator(207),Not used
2024-11-28 14:01:56,SMP01,Laboratory 207,0.709,6157.08,Refrigerator(207),Not used
2024-11-28 14:02:08,SMP01,Laboratory 207,0.709,6157.08,Refrigerator(207),Not used
2024-11-28 14:02:21,SMP01,Laboratory 207,0.709,6157.08,Refrigerator(207),Not used
2024-11-28 14:02:33,SMP01,Laboratory 207,0.709,6157.08,Refrigerator(207),Not used
2024-11-28 14:02:45,SMP01,Laboratory 207,0.674,6157.092,Refrigerator(207),Not used
2024-11-28 14:02:57,SMP01,Laboratory 207,0.674,6157.092,Refrigerator(207),Not used
2024-11-28 14:03:09,SMP01,Laboratory 207,0.674,6157.092,Refrigerator(207),Not used
2024-11-28 14:03:21,SMP01,Laboratory 207,0.674,6157.092,Refrigerator(207),Not used
2024-11-28 14:03:33,SMP01,Laboratory 207,0.674,6157.092,Refrigerator(207),Not used
2024-11-28 14:03:45,SMP01,Laboratory 207,0.624,6157.103,Refrigerator(207),Not used
2024-11-28 14:03:57,SMP01,Laboratory 207,0.624,6157.103,Refrigerator(207),Not used
2024-11-28 14:04:09,SMP01,Laboratory 207,0.624,6157.103,Refrigerator(207),Not used
2024-11-28 14:04:22,SMP01,Laboratory 207,0.624,6157.103,Refrigerator(207),Not used
2024-11-28 14:04:34,SMP01,Laboratory 207,0.624,6157.103,Refrigerator(207),Not used
2024-11-28 14:04:46,SMP01,Laboratory 207,0.683,6157.114,Refrigerator(207),Not used
2024-11-28 14:04:58,SMP01,Laboratory 207,0.683,6157.114,Refrigerator(207),Not used
2024-11-28 14:05:10,SMP01,Laboratory 207,0.683,6157.114,Refrigerator(207),Not used
2024-11-28 14:05:22,SMP01,Laboratory 207,0.683,6157.114,Refrigerator(207),Not used
2024-11-28 14:05:34,SMP01,Laboratory 207,0.683,6157.114,Refrigerator(207),Not used
2024-11-28 14:05:46,SMP01,Laboratory 207,0.696,6157.126,Refrigerator(207),Not used
2024-11-28 14:05:58,SMP01,Laboratory 207,0.696,6157.126,Refrigerator(207),Not used
2024-11-28 14:06:10,SMP01,Laboratory 207,0.696,6157.126,Refrigerator(207),Not used
2024-11-28 14:06:23,SMP01,Laboratory 207,0.696,6157.126,Refrigerator(207),Not used
2024-11-28 14:06:35,SMP01,Laboratory 207,0.696,6157.126,Refrigerator(207),Not used
2024-11-28 14:06:47,SMP01,Laboratory 207,0.703,6157.137,Refrigerator(207),Not used
2024-11-28 14:06:59,SMP01,Laboratory 207,0.703,6157.137,Refrigerator(207),Not used
2024-11-28 14:07:11,SMP01,Laboratory 207,0.703,6157.137,Refrigerator(207),Not used
2024-11-28 14:07:23,SMP01,Laboratory 207,0.703,6157.137,Refrigerator(207),Not used
2024-11-28 14:07:35,SMP01,Laboratory 207,0.703,6157.137,Refrigerator(207),Not used
2024-11-28 14:07:47,SMP01,Laboratory 207,0.635,6157.148,Refrigerator(207),Not used
2024-11-28 14:07:59,SMP01,Laboratory 207,0.635,6157.148,Refrigerator(207),Not used
2024-11-28 14:08:11,SMP01,Laboratory 207,0.635,6157.148,Refrigerator(207),Not used
2024-11-28 14:08:24,SMP01,Laboratory 207,0.635,6157.148,Refrigerator(207),Not used
2024-11-28 14:08:36,SMP01,Laboratory 207,0.635,6157.148,Refrigerator(207),Not used
2024-11-28 14:08:48,SMP01,Laboratory 207,0.675,6157.16,Refrigerator(207),Not used
2024-11-28 14:09:00,SMP01,Laboratory 207,0.675,6157.16,Refrigerator(207),Not used
2024-11-28 14:09:12,SMP01,Laboratory 207,0.675,6157.16,Refrigerator(207),Not used
2024-11-28 14:09:24,SMP01,Laboratory 207,0.675,6157.16,Refrigerator(207),Not used
2024-11-28 14:09:36,SMP01,Laboratory 207,0.675,6157.16,Refrigerator(207),Not used
2024-11-28 14:09:48,SMP01,Laboratory 207,0.671,6157.171,Refrigerator(207),Not used
2024-11-28 14:10:02,SMP01,Laboratory 207,0.671,6157.171,Refrigerator(207),Not used
2024-11-28 14:10:14,SMP01,Laboratory 207,0.671,6157.171,Refrigerator(207),Not used
2024-11-28 14:10:27,SMP01,Laboratory 207,0.671,6157.171,Refrigerator(207),Not used
2024-11-28 14:10:39,SMP01,Laboratory 207,0.671,6157.171,Refrigerator(207),Not used
2024-11-28 14:10:51,SMP01,Laboratory 207,0.705,6157.182,Refrigerator(207),Not used
2024-11-28 14:11:03,SMP01,Laboratory 207,0.705,6157.182,Refrigerator(207),Not used
2024-11-28 14:11:15,SMP01,Laboratory 207,0.705,6157.182,Refrigerator(207),Not used
2024-11-28 14:11:27,SMP01,Laboratory 207,0.705,6157.182,Refrigerator(207),Not used
2024-11-28 14:11:39,SMP01,Laboratory 207,0.705,6157.182,Refrigerator(207),Not used
2024-11-28 14:11:51,SMP01,Laboratory 207,36.072,6157.327,Refrigerator(207),Not used
2024-11-28 14:12:04,SMP01,Laboratory 207,36.072,6157.327,Refrigerator(207),Not used
2024-11-28 14:12:16,SMP01,Laboratory 207,36.072,6157.327,Refrigerator(207),Not used
2024-11-28 14:12:28,SMP01,Laboratory 207,36.072,6157.327,Refrigerator(207),Not used
2024-11-28 14:12:40,SMP01,Laboratory 207,36.072,6157.327,Refrigerator(207),Not used
2024-11-28 14:12:52,SMP01,Laboratory 207,31.634,6157.882,Refrigerator(207),Not used
2024-11-28 14:13:04,SMP01,Laboratory 207,31.634,6157.882,Refrigerator(207),Not used
2024-11-28 14:13:16,SMP01,Laboratory 207,31.634,6157.882,Refrigerator(207),Not used
2024-11-28 14:13:29,SMP01,Laboratory 207,31.634,6157.882,Refrigerator(207),Not used
2024-11-28 14:13:41,SMP01,Laboratory 207,31.634,6157.882,Refrigerator(207),Not used
2024-11-28 14:13:53,SMP01,Laboratory 207,27.376,6158.369,Refrigerator(207),Not used
2024-11-28 14:14:05,SMP01,Laboratory 207,27.376,6158.369,Refrigerator(207),Not used
2024-11-28 14:14:17,SMP01,Laboratory 207,27.376,6158.369,Refrigerator(207),Not used
2024-11-28 14:14:29,SMP01,Laboratory 207,27.376,6158.369,Refrigerator(207),Not used
2024-11-28 14:14:41,SMP01,Laboratory 207,27.376,6158.369,Refrigerator(207),Not used
2024-11-28 14:14:53,SMP01,Laboratory 207,25.532,6158.807,Refrigerator(207),Not used
2024-11-28 14:15:05,SMP01,Laboratory 207,25.532,6158.807,Refrigerator(207),Not used
2024-11-28 14:15:17,SMP01,Laboratory 207,25.532,6158.807,Refrigerator(207),Not used
2024-11-28 14:15:30,SMP01,Laboratory 207,25.532,6158.807,Refrigerator(207),Not used
2024-11-28 14:15:42,SMP01,Laboratory 207,25.532,6158.807,Refrigerator(207),Not used
2024-11-28 14:15:54,SMP01,Laboratory 207,27.178,6159.236,Refrigerator(207),Not used
2024-11-28 14:16:06,SMP01,Laboratory 207,27.178,6159.236,Refrigerator(207),Not used
2024-11-28 14:16:18,SMP01,Laboratory 207,27.178,6159.236,Refrigerator(207),Not used
2024-11-28 14:16:30,SMP01,Laboratory 207,27.178,6159.236,Refrigerator(207),Not used
2024-11-28 14:16:42,SMP01,Laboratory 207,27.178,6159.236,Refrigerator(207),Not used
2024-11-28 14:16:54,SMP01,Laboratory 207,28.68,6159.705,Refrigerator(207),Not used
2024-11-28 14:17:06,SMP01,Laboratory 207,28.68,6159.705,Refrigerator(207),Not used
2024-11-28 14:17:18,SMP01,Laboratory 207,28.68,6159.705,Refrigerator(207),Not used
2024-11-28 14:17:30,SMP01,Laboratory 207,28.68,6159.705,Refrigerator(207),Not used
2024-11-28 14:17:43,SMP01,Laboratory 207,28.68,6159.705,Refrigerator(207),Not used
2024-11-28 14:17:55,SMP01,Laboratory 207,29.245,6160.184,Refrigerator(207),Not used
2024-11-28 14:18:07,SMP01,Laboratory 207,29.245,6160.184,Refrigerator(207),Not used
2024-11-28 14:18:19,SMP01,Laboratory 207,29.245,6160.184,Refrigerator(207),Not used
2024-11-28 14:18:31,SMP01,Laboratory 207,29.245,6160.184,Refrigerator(207),Not used
2024-11-28 14:18:43,SMP01,Laboratory 207,29.245,6160.184,Refrigerator(207),Not used
2024-11-28 14:18:55,SMP01,Laboratory 207,29.148,6160.668,Refrigerator(207),Not used
2024-11-28 14:19:07,SMP01,Laboratory 207,29.148,6160.668,Refrigerator(207),Not used
2024-11-28 14:19:19,SMP01,Laboratory 207,29.148,6160.668,Refrigerator(207),Not used
2024-11-28 14:19:31,SMP01,Laboratory 207,29.148,6160.668,Refrigerator(207),Not used
2024-11-28 14:19:44,SMP01,Laboratory 207,29.148,6160.668,Refrigerator(207),Not used
2024-11-28 14:19:56,SMP01,Laboratory 207,29.395,6161.16,Refrigerator(207),Not used
2024-11-28 14:20:09,SMP01,Laboratory 207,29.395,6161.16,Refrigerator(207),Not used
2024-11-28 14:20:21,SMP01,Laboratory 207,29.395,6161.16,Refrigerator(207),Not used
2024-11-28 14:20:33,SMP01,Laboratory 207,29.395,6161.16,Refrigerator(207),Not used
2024-11-28 14:20:45,SMP01,Laboratory 207,30.175,6161.659,Refrigerator(207),Not used
2024-11-28 14:20:57,SMP01,Laboratory 207,30.175,6161.659,Refrigerator(207),Not used
2024-11-28 14:21:09,SMP01,Laboratory 207,30.175,6161.659,Refrigerator(207),Not used
2024-11-28 14:21:22,SMP01,Laboratory 207,30.175,6161.659,Refrigerator(207),Not used
2024-11-28 14:21:34,SMP01,Laboratory 207,30.175,6161.659,Refrigerator(207),Not used
2024-11-28 14:21:46,SMP01,Laboratory 207,30.483,6162.162,Refrigerator(207),Not used
2024-11-28 14:21:58,SMP01,Laboratory 207,30.483,6162.162,Refrigerator(207),Not used
2024-11-28 14:22:10,SMP01,Laboratory 207,30.483,6162.162,Refrigerator(207),Not used
2024-11-28 14:22:22,SMP01,Laboratory 207,30.483,6162.162,Refrigerator(207),Not used
2024-11-28 14:22:34,SMP01,Laboratory 207,30.483,6162.162,Refrigerator(207),Not used
2024-11-28 14:22:47,SMP01,Laboratory 207,30.952,6162.668,Refrigerator(207),Not used
2024-11-28 14:22:59,SMP01,Laboratory 207,30.952,6162.668,Refrigerator(207),Not used
2024-11-28 14:23:11,SMP01,Laboratory 207,30.952,6162.668,Refrigerator(207),Not used
2024-11-28 14:23:23,SMP01,Laboratory 207,30.952,6162.668,Refrigerator(207),Not used
2024-11-28 14:23:35,SMP01,Laboratory 207,30.952,6162.668,Refrigerator(207),Not used
2024-11-28 14:23:47,SMP01,Laboratory 207,30.482,6163.18,Refrigerator(207),Not used
2024-11-28 14:23:59,SMP01,Laboratory 207,30.482,6163.18,Refrigerator(207),Not used
2024-11-28 14:24:11,SMP01,Laboratory 207,30.482,6163.18,Refrigerator(207),Not used
