Timestamp,Label,Location Name,Power (W),Energy (Wh),Appliance,user1_activity,user2_activity,user3_activity
2024-11-21 18:06:18+00:00,SMP01,Laboratory 207,1.288,3349.53,Refrigerator(207),,,
2024-11-21 18:16:18+00:00,SMP01,Laboratory 207,0.687,3349.53,Refrigerator(207),,,
2024-11-21 18:26:18+00:00,SMP01,Laboratory 207,27.582,3349.53,Refrigerator(207),,,
2024-11-21 18:36:18+00:00,SMP01,Laboratory 207,28.622,3349.53,Refrigerator(207),,,
2024-11-21 18:46:18+00:00,SMP01,Laboratory 207,0.734,3349.53,Refrigerator(207),,,
2024-11-21 18:56:18+00:00,SMP01,Laboratory 207,24.939,3349.53,Refrigerator(207),,,
2024-11-21 19:06:18+00:00,SMP01,Laboratory 207,29.555,3349.53,Refrigerator(207),,,
2024-11-21 19:16:18+00:00,SMP01,Laboratory 207,28.447,3349.53,Refrigerator(207),,,
2024-11-21 19:26:18+00:00,SMP01,Laboratory 207,0.723,3349.53,Refrigerator(207),,,
2024-11-21 19:36:18+00:00,SMP01,Laboratory 207,24.875,3349.53,Refrigerator(207),,,
2024-11-21 19:46:18+00:00,SMP01,Laboratory 207,28.375,3349.53,Refrigerator(207),,,
2024-11-21 19:56:18+00:00,SMP01,Laboratory 207,0.657,3349.53,Refrigerator(207),,,
2024-11-21 20:06:19+00:00,SMP01,Laboratory 207,31.593,3349.53,Refrigerator(207),,,
2024-11-21 20:16:19+00:00,SMP01,Laboratory 207,29.191,3349.53,Refrigerator(207),,,
2024-11-21 20:26:19+00:00,SMP01,Laboratory 207,28.826,3349.53,Refrigerator(207),,,
2024-11-21 20:35:19+00:00,SMP01,Laboratory 207,0.7,3349.53,Refrigerator(207),,,
2024-11-21 20:45:19+00:00,SMP01,Laboratory 207,24.633,3349.53,Refrigerator(207),,,
2024-11-21 20:55:19+00:00,SMP01,Laboratory 207,28.073,3349.53,Refrigerator(207),,,
2024-11-21 21:05:19+00:00,SMP01,Laboratory 207,0.702,3349.53,Refrigerator(207),,,
2024-11-21 21:15:19+00:00,SMP01,Laboratory 207,0.659,3349.53,Refrigerator(207),,,
2024-11-21 21:25:19+00:00,SMP01,Laboratory 207,28.571,3349.53,Refrigerator(207),,,
2024-11-21 21:35:19+00:00,SMP01,Laboratory 207,29.703,3349.53,Refrigerator(207),,,
2024-11-21 21:45:19+00:00,SMP01,Laboratory 207,0.696,3349.53,Refrigerator(207),,,
2024-11-21 21:56:19+00:00,SMP01,Laboratory 207,0.67,3349.53,Refrigerator(207),,,
2024-11-21 22:06:19+00:00,SMP01,Laboratory 207,27.995,3349.53,Refrigerator(207),,,
2024-11-21 22:16:19+00:00,SMP01,Laboratory 207,0.692,3349.53,Refrigerator(207),,,
2024-11-21 22:26:19+00:00,SMP01,Laboratory 207,0.789,3349.53,Refrigerator(207),,,
2024-11-21 22:36:19+00:00,SMP01,Laboratory 207,28.706,3349.53,Refrigerator(207),,,
2024-11-21 22:46:19+00:00,SMP01,Laboratory 207,29.604,3349.53,Refrigerator(207),,,
2024-11-21 22:56:19+00:00,SMP01,Laboratory 207,0.723,3349.53,Refrigerator(207),,,
2024-11-21 23:06:19+00:00,SMP01,Laboratory 207,0.714,3349.53,Refrigerator(207),,,
2024-11-21 23:16:19+00:00,SMP01,Laboratory 207,27.853,3349.53,Refrigerator(207),,,
2024-11-21 23:26:19+00:00,SMP01,Laboratory 207,0.708,3349.53,Refrigerator(207),,,
2024-11-21 23:36:19+00:00,SMP01,Laboratory 207,0.672,3349.53,Refrigerator(207),,,
2024-11-21 23:46:19+00:00,SMP01,Laboratory 207,27.434,3349.53,Refrigerator(207),,,
2024-11-21 23:56:19+00:00,SMP01,Laboratory 207,29.662,3349.53,Refrigerator(207),,,
2024-11-22 00:06:19+00:00,SMP01,Laboratory 207,1.296,3349.53,Refrigerator(207),,,
2024-11-22 00:16:19+00:00,SMP01,Laboratory 207,1.136,3350.412,Refrigerator(207),,,
2024-11-22 00:26:19+00:00,SMP01,Laboratory 207,27.975,3351.995,Refrigerator(207),,,
2024-11-22 00:36:19+00:00,SMP01,Laboratory 207,1.338,3356.652,Refrigerator(207),,,
2024-11-22 00:46:19+00:00,SMP01,Laboratory 207,0.7,3357.925,Refrigerator(207),,,
2024-11-22 00:54:19+00:00,SMP01,Laboratory 207,27.392,3358.541,Refrigerator(207),,,
2024-11-22 01:04:19+00:00,SMP01,Laboratory 207,29.845,3363.269,Refrigerator(207),,,
2024-11-22 01:14:19+00:00,SMP01,Laboratory 207,29.041,3368.371,Refrigerator(207),,,
2024-11-22 01:24:19+00:00,SMP01,Laboratory 207,55.226,3375.181,Refrigerator(207),,,
2024-11-22 01:34:19+00:00,SMP01,Laboratory 207,56.543,3384.277,Refrigerator(207),,,
2024-11-22 01:44:19+00:00,SMP01,Laboratory 207,58.686,3384.277,Refrigerator(207),,,
2024-11-22 01:54:19+00:00,SMP01,Laboratory 207,29.766,3384.277,Refrigerator(207),,,
2024-11-22 02:04:20+00:00,SMP01,Laboratory 207,28.398,3384.277,Refrigerator(207),,,
2024-11-22 02:14:20+00:00,SMP01,Laboratory 207,29.025,3384.277,Refrigerator(207),,,
2024-11-22 00:21:26+00:00,SMP02,Laboratory 207,0.357,720.705,Projector,,,
2024-11-22 00:31:26+00:00,SMP02,Laboratory 207,0.392,720.764,Projector,,,
2024-11-22 00:41:26+00:00,SMP02,Laboratory 207,0.346,720.822,Projector,,,
2024-11-22 00:51:26+00:00,SMP02,Laboratory 207,0.33,720.927,Projector,,,
2024-11-22 01:01:26+00:00,SMP02,Laboratory 207,0.334,720.986,Projector,,,
2024-11-22 01:11:26+00:00,SMP02,Laboratory 207,0.323,721.044,Projector,,,
2024-11-22 01:21:26+00:00,SMP02,Laboratory 207,0.362,721.103,Projector,,,
2024-11-22 01:31:26+00:00,SMP02,Laboratory 207,0.375,721.161,Projector,,,
2024-11-22 01:41:26+00:00,SMP02,Laboratory 207,0.327,721.161,Projector,,,
2024-11-22 00:18:00+00:00,SMP03,Laboratory 207,0.411,1067.663,Haewon Monitor,,,
2024-11-22 00:28:00+00:00,SMP03,Laboratory 207,0.423,1067.733,Haewon Monitor,,,
2024-11-22 00:38:00+00:00,SMP03,Laboratory 207,0.425,1067.803,Haewon Monitor,,,
2024-11-22 00:48:00+00:00,SMP03,Laboratory 207,0.423,1067.873,Haewon Monitor,,,
2024-11-22 00:58:00+00:00,SMP03,Laboratory 207,0.399,1067.944,Haewon Monitor,,,
2024-11-22 01:08:00+00:00,SMP03,Laboratory 207,33.763,1069.903,Haewon Monitor,,,
2024-11-22 01:18:00+00:00,SMP03,Laboratory 207,0.15,1072.048,Haewon Monitor,,,
