Timestamp,Label,Location Name,Power (W),Energy (Wh),Appliance,user1_activity,user2_activity
2024-12-05 15:00:12,SMP01,Laboratory 207,29.15,9369.694,Refrigerator(207),,
2024-12-05 15:00:24,SMP01,Laboratory 207,29.201,9370.182,Refrigerator(207),,
2024-12-05 15:00:36,SMP01,Laboratory 207,29.201,9370.182,Refrigerator(207),,
2024-12-05 15:00:48,SMP01,Laboratory 207,29.201,9370.182,Refrigerator(207),,
2024-12-05 15:01:00,SMP01,Laboratory 207,29.201,9370.182,Refrigerator(207),,
2024-12-05 15:01:13,SMP01,Laboratory 207,32.258,9370.68,Refrigerator(207),,
2024-12-05 15:01:25,SMP01,Laboratory 207,32.258,9370.68,Refrigerator(207),,
2024-12-05 15:01:37,SMP01,Laboratory 207,32.258,9370.68,Refrigerator(207),,
2024-12-05 15:01:49,SMP01,Laboratory 207,32.258,9370.68,Refrigerator(207),,
2024-12-05 15:02:01,SMP01,Laboratory 207,32.258,9370.68,Refrigerator(207),,
2024-12-05 15:02:13,SMP01,Laboratory 207,2.801,9371.12,Refrigerator(207),,
2024-12-05 15:02:25,SMP01,Laboratory 207,2.801,9371.12,Refrigerator(207),,
2024-12-05 15:02:37,SMP01,Laboratory 207,2.801,9371.12,Refrigerator(207),,
2024-12-05 15:02:49,SMP01,Laboratory 207,2.801,9371.12,Refrigerator(207),,
2024-12-05 15:03:01,SMP01,Laboratory 207,2.801,9371.12,Refrigerator(207),,
2024-12-05 15:03:13,SMP01,Laboratory 207,1.698,9371.153,Refrigerator(207),,
2024-12-05 15:03:25,SMP01,Laboratory 207,1.698,9371.153,Refrigerator(207),,
2024-12-05 15:03:38,SMP01,Laboratory 207,1.698,9371.153,Refrigerator(207),,
2024-12-05 15:03:50,SMP01,Laboratory 207,1.698,9371.153,Refrigerator(207),,
2024-12-05 15:04:02,SMP01,Laboratory 207,1.698,9371.153,Refrigerator(207),,
2024-12-05 15:04:14,SMP01,Laboratory 207,1.18,9371.18,Refrigerator(207),,
2024-12-05 15:04:26,SMP01,Laboratory 207,1.18,9371.18,Refrigerator(207),,
2024-12-05 15:04:38,SMP01,Laboratory 207,1.18,9371.18,Refrigerator(207),,
2024-12-05 15:04:50,SMP01,Laboratory 207,1.18,9371.18,Refrigerator(207),,
2024-12-05 15:05:03,SMP01,Laboratory 207,1.18,9371.18,Refrigerator(207),,
2024-12-05 15:05:15,SMP01,Laboratory 207,5.554,9371.209,Refrigerator(207),,
2024-12-05 15:05:27,SMP01,Laboratory 207,5.554,9371.209,Refrigerator(207),,
2024-12-05 15:05:39,SMP01,Laboratory 207,5.554,9371.209,Refrigerator(207),,
2024-12-05 15:05:51,SMP01,Laboratory 207,5.554,9371.209,Refrigerator(207),,
2024-12-05 15:06:03,SMP01,Laboratory 207,5.554,9371.209,Refrigerator(207),,
2024-12-05 15:06:16,SMP01,Laboratory 207,1.15,9371.271,Refrigerator(207),,
2024-12-05 15:06:28,SMP01,Laboratory 207,1.15,9371.271,Refrigerator(207),,
2024-12-05 15:06:40,SMP01,Laboratory 207,1.15,9371.271,Refrigerator(207),,
2024-12-05 15:06:52,SMP01,Laboratory 207,1.15,9371.271,Refrigerator(207),,
2024-12-05 15:07:04,SMP01,Laboratory 207,1.15,9371.271,Refrigerator(207),,
2024-12-05 15:07:16,SMP01,Laboratory 207,1.186,9371.291,Refrigerator(207),,
2024-12-05 15:07:28,SMP01,Laboratory 207,1.186,9371.291,Refrigerator(207),,
2024-12-05 15:07:40,SMP01,Laboratory 207,1.186,9371.291,Refrigerator(207),,
2024-12-05 15:07:52,SMP01,Laboratory 207,1.186,9371.291,Refrigerator(207),,
2024-12-05 15:08:05,SMP01,Laboratory 207,1.186,9371.291,Refrigerator(207),,
2024-12-05 15:08:17,SMP01,Laboratory 207,1.178,9371.31,Refrigerator(207),,
2024-12-05 15:08:29,SMP01,Laboratory 207,1.178,9371.31,Refrigerator(207),,
2024-12-05 15:08:41,SMP01,Laboratory 207,1.178,9371.31,Refrigerator(207),,
2024-12-05 15:08:53,SMP01,Laboratory 207,1.178,9371.31,Refrigerator(207),,
2024-12-05 15:09:05,SMP01,Laboratory 207,1.178,9371.31,Refrigerator(207),,
2024-12-05 15:09:17,SMP01,Laboratory 207,1.187,9371.33,Refrigerator(207),,
2024-12-05 15:09:30,SMP01,Laboratory 207,1.187,9371.33,Refrigerator(207),,
2024-12-05 15:09:42,SMP01,Laboratory 207,1.187,9371.33,Refrigerator(207),,
2024-12-05 15:09:54,SMP01,Laboratory 207,1.187,9371.33,Refrigerator(207),,
2024-12-05 15:10:09,SMP01,Laboratory 207,1.187,9371.33,Refrigerator(207),,
2024-12-05 15:10:21,SMP01,Laboratory 207,1.125,9371.349,Refrigerator(207),,
2024-12-05 15:10:34,SMP01,Laboratory 207,1.125,9371.349,Refrigerator(207),,
2024-12-05 15:10:46,SMP01,Laboratory 207,1.125,9371.349,Refrigerator(207),,
2024-12-05 15:10:58,SMP01,Laboratory 207,1.125,9371.349,Refrigerator(207),,
2024-12-05 15:11:10,SMP01,Laboratory 207,1.125,9371.349,Refrigerator(207),,
2024-12-05 15:11:22,SMP01,Laboratory 207,2.101,9371.401,Refrigerator(207),,
2024-12-05 15:11:34,SMP01,Laboratory 207,2.101,9371.401,Refrigerator(207),,
2024-12-05 15:11:46,SMP01,Laboratory 207,2.101,9371.401,Refrigerator(207),,
2024-12-05 15:11:58,SMP01,Laboratory 207,2.101,9371.401,Refrigerator(207),,
2024-12-05 15:12:10,SMP01,Laboratory 207,2.101,9371.401,Refrigerator(207),,
2024-12-05 15:12:23,SMP01,Laboratory 207,1.146,9371.42,Refrigerator(207),,
