Timestamp,Label,Location Name,Power (W),Energy (Wh),Appliance,user1_activity,user2_activity,Total Power (W),Unix Time,state
2025-01-08 13:28:31,SMP01,Laboratory 207,28.535,24780.844,Refrigerator(207),abs,abs,28.535,1736342911,S0
2025-01-08 13:28:43,SMP01,Laboratory 207,28.595,24781.315,Refrigerator(207),abs,abs,28.595,1736342923,S0
2025-01-08 13:29:24,SMP01,Laboratory 207,28.595,24781.315,Refrigerator(207),abs,abs,28.595,1736342964,S0
2025-01-08 13:29:37,SMP01,Laboratory 207,28.595,24781.315,Refrigerator(207),abs,abs,28.595,1736342977,S0
2025-01-08 13:29:49,SMP01,Laboratory 207,28.639,24781.79,Refrigerator(207),abs,abs,28.639,1736342989,S0
2025-01-08 13:30:02,SMP01,Laboratory 207,28.639,24781.79,Refrigerator(207),abs,abs,28.639,1736343002,S0
2025-01-08 13:30:14,SMP01,Laboratory 207,28.639,24781.79,Refrigerator(207),abs,abs,28.639,1736343014,S0
2025-01-08 13:30:26,SMP01,Laboratory 207,28.639,24781.79,Refrigerator(207),abs,abs,28.639,1736343026,S0
2025-01-08 13:30:39,SMP01,Laboratory 207,28.639,24781.79,Refrigerator(207),abs,abs,28.639,1736343039,S0
2025-01-08 13:30:51,SMP01,Laboratory 207,28.569,24782.263,Refrigerator(207),abs,abs,28.569,1736343051,S0
2025-01-08 13:31:04,SMP01,Laboratory 207,28.569,24782.263,Refrigerator(207),abs,abs,28.569,1736343064,S0
2025-01-08 13:31:16,SMP01,Laboratory 207,28.569,24782.263,Refrigerator(207),abs,abs,28.569,1736343076,S0
2025-01-08 13:31:29,SMP01,Laboratory 207,28.569,24782.263,Refrigerator(207),abs,abs,28.569,1736343089,S0
2025-01-08 13:31:42,SMP01,Laboratory 207,28.411,24782.738,Refrigerator(207),abs,abs,28.411,1736343102,S0
2025-01-08 13:31:54,SMP01,Laboratory 207,28.411,24782.738,Refrigerator(207),abs,abs,28.411,1736343114,S0
2025-01-08 13:32:06,SMP01,Laboratory 207,28.411,24782.738,Refrigerator(207),abs,abs,28.411,1736343126,S0
2025-01-08 13:32:19,SMP01,Laboratory 207,28.411,24782.738,Refrigerator(207),abs,abs,28.411,1736343139,S0
2025-01-08 13:32:31,SMP01,Laboratory 207,28.411,24782.738,Refrigerator(207),abs,abs,28.411,1736343151,S0
2025-01-08 13:32:43,SMP01,Laboratory 207,1.74,24783.0,Refrigerator(207),abs,abs,1.74,1736343163,S0
2025-01-08 13:32:56,SMP01,Laboratory 207,1.74,24783.0,Refrigerator(207),abs,abs,1.74,1736343176,S0
2025-01-08 13:33:08,SMP01,Laboratory 207,1.74,24783.0,Refrigerator(207),abs,abs,1.74,1736343188,S0
2025-01-08 13:33:21,SMP01,Laboratory 207,1.74,24783.0,Refrigerator(207),abs,abs,1.74,1736343201,S0
2025-01-08 13:33:33,SMP01,Laboratory 207,1.74,24783.0,Refrigerator(207),abs,abs,1.74,1736343213,S0
2025-01-08 13:33:46,SMP01,Laboratory 207,1.184,24783.021,Refrigerator(207),abs,abs,1.184,1736343226,S0
2025-01-08 13:33:58,SMP01,Laboratory 207,1.184,24783.021,Refrigerator(207),abs,abs,1.184,1736343238,S0
2025-01-08 13:34:10,SMP01,Laboratory 207,1.184,24783.021,Refrigerator(207),abs,abs,1.184,1736343250,S0
2025-01-08 13:34:23,SMP01,Laboratory 207,1.184,24783.021,Refrigerator(207),abs,abs,1.184,1736343263,S0
2025-01-08 13:34:35,SMP01,Laboratory 207,1.184,24783.021,Refrigerator(207),abs,abs,1.184,1736343275,S0
2025-01-08 13:34:48,SMP01,Laboratory 207,0.681,24783.036,Refrigerator(207),abs,abs,0.681,1736343288,S0
2025-01-08 13:35:00,SMP01,Laboratory 207,0.681,24783.036,Refrigerator(207),abs,abs,0.681,1736343300,S0
2025-01-08 13:35:13,SMP01,Laboratory 207,0.681,24783.036,Refrigerator(207),abs,abs,0.681,1736343313,S0
2025-01-08 13:35:25,SMP01,Laboratory 207,0.681,24783.036,Refrigerator(207),abs,abs,0.681,1736343325,S0
2025-01-08 13:35:38,SMP01,Laboratory 207,0.681,24783.036,Refrigerator(207),abs,abs,0.681,1736343338,S0
2025-01-08 13:35:50,SMP01,Laboratory 207,0.706,24783.047,Refrigerator(207),abs,abs,0.706,1736343350,S0
2025-01-08 13:36:02,SMP01,Laboratory 207,0.706,24783.047,Refrigerator(207),abs,abs,0.706,1736343362,S0
2025-01-08 13:36:15,SMP01,Laboratory 207,0.706,24783.047,Refrigerator(207),abs,abs,0.706,1736343375,S0
2025-01-08 13:36:27,SMP01,Laboratory 207,0.706,24783.047,Refrigerator(207),abs,abs,0.706,1736343387,S0
2025-01-08 13:36:40,SMP01,Laboratory 207,0.706,24783.058,Refrigerator(207),abs,abs,0.706,1736343400,S0
2025-01-08 13:36:52,SMP01,Laboratory 207,0.706,24783.058,Refrigerator(207),abs,abs,0.706,1736343412,S0
2025-01-08 13:37:04,SMP01,Laboratory 207,0.706,24783.058,Refrigerator(207),abs,abs,0.706,1736343424,S0
2025-01-08 13:37:17,SMP01,Laboratory 207,0.706,24783.058,Refrigerator(207),abs,abs,0.706,1736343437,S0
2025-01-08 13:37:29,SMP01,Laboratory 207,0.706,24783.058,Refrigerator(207),abs,abs,0.706,1736343449,S0
2025-01-08 13:37:42,SMP01,Laboratory 207,0.688,24783.07,Refrigerator(207),abs,abs,0.688,1736343462,S0
2025-01-08 13:37:54,SMP01,Laboratory 207,0.688,24783.07,Refrigerator(207),abs,abs,0.688,1736343474,S0
